Trial	Identity	Answer	ReactionTime[s]	
1	B14	45	1.151916e+01
2	G35	44	6.088703e+00
3	G20	30	5.695932e+00
4	B33	23	5.828869e+00
5	G31	40	5.817214e+00
6	B21	46	5.508150e+00
7	B09	33	5.732771e+00
8	G37	34	5.451041e+00
9	G25	52	6.299134e+00
10	B32	69	6.419047e+00
11	B13	33	6.068423e+00
12	B28	36	6.041822e+00
13	G05	45	6.360353e+00
14	G23	10	5.683126e+00
15	G29	60	5.975061e+00
16	B41	30	5.592283e+00
17	B40	68	5.595250e+00
18	G36	59	5.979959e+00
19	B26	24	5.963016e+00
20	G17	66	5.953774e+00
21	G11	52	5.786323e+00
22	B25	52	5.786843e+00
23	G28	32	5.542538e+00
24	G22	34	5.793602e+00
25	G15	38	5.999093e+00
26	B37	37	6.251503e+00
27	G27	42	7.717795e+00
28	B16	41	6.468125e+00
29	B35	51	5.546850e+00
30	B36	46	6.433542e+00
31	G39	41	6.218278e+00
32	B29	30	6.514068e+00
33	B34	42	5.740780e+00
34	G08	42	5.704507e+00
35	B24	40	7.039082e+00
36	G07	56	5.765114e+00
37	G01	60	5.705754e+00
38	G09	47	5.669179e+00
39	G21	53	5.586574e+00
40	B23	35	6.342991e+00
41	B15	53	5.613593e+00
42	B20	93	8.373191e+00
43	G16	41	6.786711e+00
44	G24	36	5.679108e+00
45	B14	71	5.640805e+00
46	B21	45	7.759143e+00
47	G15	62	7.460709e+00
48	G31	56	5.593153e+00
49	G11	42	5.683832e+00
50	G05	43	5.634733e+00
51	G28	48	5.440567e+00
52	B41	59	5.465950e+00
53	B35	70	5.464460e+00
54	G21	48	5.697417e+00
55	G01	66	8.467401e+00
56	G08	58	5.533320e+00
57	G23	38	5.982646e+00
58	B26	64	5.776134e+00
59	B34	65	5.754527e+00
60	B28	52	6.120906e+00
61	G20	55	5.490463e+00
62	G22	39	5.775517e+00
63	B23	52	5.840520e+00
64	G29	67	5.485229e+00
65	G36	56	5.621651e+00
66	B32	64	6.545223e+00
67	G07	66	5.822311e+00
68	G35	55	5.609402e+00
69	G24	41	5.602256e+00
70	G16	50	6.024741e+00
71	B33	41	5.481720e+00
72	G27	50	6.760186e+00
73	B29	66	6.756639e+00
74	B13	46	5.444149e+00
75	B24	75	7.166974e+00
76	B25	90	7.149015e+00
77	B37	35	5.490081e+00
78	B20	74	6.195141e+00
79	G17	57	8.543477e+00
80	B09	57	6.041980e+00
81	G39	38	5.894679e+00
82	B36	11	5.711302e+00
83	B15	62	5.419288e+00
84	G09	53	5.923016e+00
85	G25	72	6.771773e+00
86	B16	32	6.487668e+00
87	B40	59	5.632978e+00
88	G37	55	5.456372e+00
89	G29	66	5.880665e+00
90	B25	77	8.424889e+00
91	B09	56	5.516470e+00
92	B23	42	6.414577e+00
93	B34	47	7.319761e+00
94	G28	66	6.015372e+00
95	G21	61	6.367198e+00
96	B26	62	5.526730e+00
97	G11	59	5.626589e+00
98	B37	59	5.454343e+00
99	G39	45	5.549684e+00
100	G35	53	5.352083e+00
101	B24	68	6.173188e+00
102	G20	70	5.549599e+00
103	B13	35	5.671191e+00
104	G23	50	7.208243e+00
105	G07	71	5.601940e+00
106	G08	38	5.511219e+00
107	G22	44	6.552766e+00
108	G16	77	5.517569e+00
109	B40	71	5.819393e+00
110	B16	46	5.593219e+00
111	G31	40	5.541478e+00
112	G09	75	5.371125e+00
113	B33	58	7.045300e+00
114	G17	54	6.721644e+00
115	G27	49	6.112404e+00
116	B20	54	7.709514e+00
117	G01	65	6.709925e+00
118	B28	55	5.555279e+00
119	B29	54	6.230362e+00
120	B14	84	7.860458e+00
121	G15	69	5.369385e+00
122	G25	65	6.190108e+00
123	G24	43	8.792519e+00
124	B15	58	5.569312e+00
125	B36	24	5.500775e+00
126	G05	63	6.650733e+00
127	B32	82	5.827339e+00
128	B21	62	6.056061e+00
129	B35	70	5.759909e+00
130	G36	65	5.285467e+00
131	G37	50	5.398737e+00
132	B41	57	5.620765e+00
133	B24	71	5.447881e+00
134	B15	90	5.941439e+00
135	G08	52	5.777995e+00
136	G05	71	9.580054e+00
137	B16	20	6.463070e+00
138	B26	55	6.184229e+00
139	B14	78	6.958007e+00
140	B28	44	5.793289e+00
141	B20	72	5.386962e+00
142	G22	43	7.101752e+00
143	G35	45	5.784890e+00
144	G23	38	6.307246e+00
145	B23	37	5.696148e+00
146	B21	66	5.982286e+00
147	B40	74	7.076322e+00
148	G15	48	5.511196e+00
149	B09	50	5.595623e+00
150	G37	47	5.584088e+00
151	B41	51	5.475369e+00
152	G09	68	5.658408e+00
153	G36	49	6.512876e+00
154	G01	76	8.846057e+00
155	G27	47	7.005311e+00
156	B37	49	5.641638e+00
157	G31	56	5.641364e+00
158	B25	54	7.298166e+00
159	B36	41	6.646805e+00
160	B34	47	5.490457e+00
161	G25	67	5.484062e+00
162	G28	35	5.521342e+00
163	G16	61	5.452552e+00
164	B29	51	5.516486e+00
165	G17	36	5.650472e+00
166	G29	73	5.997176e+00
167	G11	32	5.641602e+00
168	B13	48	5.403714e+00
169	B32	77	5.180886e+00
170	G20	50	5.636885e+00
171	G07	52	5.626623e+00
172	G24	39	6.170677e+00
173	G21	42	6.531869e+00
174	G39	39	5.781376e+00
175	B33	51	8.132728e+00
176	B35	64	5.403668e+00
