Trial	Identity	Answer	ReactionTime[s]	
1	B14	62	2.858966e+01
2	G35	56	8.869340e+00
3	G20	34	9.168174e+00
4	B33	26	5.920253e+00
5	G31	35	9.521367e+00
6	B21	52	1.015993e+01
7	B09	46	6.573575e+00
8	G37	27	1.119016e+01
9	G25	59	8.305978e+00
10	B32	49	5.551493e+00
11	B13	47	6.233749e+00
12	B28	12	1.383118e+01
13	G05	47	1.117899e+01
14	G23	28	9.296762e+00
15	G29	61	1.027861e+01
16	B41	18	1.072034e+01
17	B40	52	1.000879e+01
18	G36	49	9.975098e+00
19	B26	48	7.163543e+00
20	G17	24	1.059905e+01
21	G11	30	1.179323e+01
22	B25	19	1.095944e+01
23	G28	35	1.282450e+01
24	G22	15	1.728587e+01
25	G15	49	7.954353e+00
26	B37	44	5.459085e+00
27	G27	13	9.570357e+00
28	B16	13	6.667769e+00
29	B35	77	9.703723e+00
30	B36	54	1.131048e+01
31	G39	24	1.035959e+01
32	B29	32	1.275962e+01
33	B34	55	1.082629e+01
34	G08	31	1.323800e+01
35	B24	58	1.874991e+01
36	G07	72	9.561157e+00
37	G01	34	1.212809e+01
38	G09	70	6.882470e+00
39	G21	58	5.362925e+00
40	B23	53	7.815281e+00
41	B15	47	8.097690e+00
42	B20	40	5.760105e+00
43	G16	64	1.411699e+01
44	G24	30	1.171087e+01
45	B14	56	1.266555e+01
46	B21	71	5.806857e+00
47	G15	65	5.996386e+00
48	G31	43	5.786727e+00
49	G11	24	6.694855e+00
50	G05	30	1.083251e+01
51	G28	45	7.332189e+00
52	B41	44	5.696714e+00
53	B35	56	5.781959e+00
54	G21	35	9.817319e+00
55	G01	32	1.350538e+01
56	G08	37	7.751700e+00
57	G23	48	6.564985e+00
58	B26	79	6.955167e+00
59	B34	58	5.730727e+00
60	B28	18	1.030843e+01
61	G20	45	8.549115e+00
62	G22	68	1.037268e+01
63	B23	55	1.174725e+01
64	G29	59	9.177006e+00
65	G36	44	9.133418e+00
66	B32	70	1.028612e+01
67	G07	70	1.093145e+01
68	G35	58	8.583115e+00
69	G24	22	9.690502e+00
70	G16	53	6.583865e+00
71	B33	32	7.187578e+00
72	G27	23	6.172870e+00
73	B29	44	5.564636e+00
74	B13	48	6.292706e+00
75	B24	57	7.929637e+00
76	B25	40	7.675943e+00
77	B37	48	8.133568e+00
78	B20	61	7.470989e+00
79	G17	50	1.060691e+01
80	B09	55	9.784991e+00
81	G39	42	1.079198e+01
82	B36	71	9.612689e+00
83	B15	51	9.198571e+00
84	G09	51	5.405344e+00
85	G25	51	1.327263e+01
86	B16	44	5.780826e+00
87	B40	72	9.867229e+00
88	G37	64	6.381915e+00
89	G29	52	8.717668e+00
90	B25	49	7.891352e+00
91	B09	47	8.581284e+00
92	B23	71	9.472042e+00
93	B34	65	1.077866e+01
94	G28	57	6.193236e+00
95	G21	35	5.783497e+00
96	B26	71	9.341534e+00
97	G11	31	8.675597e+00
98	B37	61	9.985169e+00
99	G39	70	8.862061e+00
100	G35	53	8.009445e+00
101	B24	40	8.681818e+00
102	G20	71	8.689241e+00
103	B13	63	9.644209e+00
104	G23	33	1.338458e+01
105	G07	69	8.384964e+00
106	G08	43	1.133983e+01
107	G22	41	7.594222e+00
108	G16	79	7.661496e+00
109	B40	57	1.081945e+01
110	B16	26	7.475307e+00
111	G31	62	8.553539e+00
112	G09	67	1.039935e+01
113	B33	47	6.979728e+00
114	G17	58	9.277087e+00
115	G27	41	1.013580e+01
116	B20	49	7.641818e+00
117	G01	66	9.807613e+00
118	B28	44	8.015750e+00
119	B29	49	6.057848e+00
120	B14	64	9.500111e+00
121	G15	37	1.019719e+01
122	G25	70	5.706887e+00
123	G24	46	6.158230e+00
124	B15	39	8.826575e+00
125	B36	53	8.854901e+00
126	G05	62	6.488423e+00
127	B32	81	5.658334e+00
128	B21	72	6.376734e+00
129	B35	84	7.372122e+00
130	G36	74	7.805869e+00
131	G37	42	1.024978e+01
132	B41	63	9.278537e+00
133	B24	62	1.174006e+01
134	B15	100	1.303288e+01
135	G08	44	9.625822e+00
136	G05	70	9.052571e+00
137	B16	53	9.802571e+00
138	B26	79	1.354961e+01
139	B14	80	1.003818e+01
140	B28	59	7.548095e+00
141	B20	55	9.946151e+00
142	G22	32	9.070151e+00
143	G35	45	7.051539e+00
144	G23	23	9.504143e+00
145	B23	100	1.141623e+01
146	B21	89	1.137887e+01
147	B40	96	9.740540e+00
148	G15	100	1.063095e+01
149	B09	64	1.147710e+01
150	G37	76	1.170321e+01
151	B41	100	5.787182e+00
152	G09	95	1.014853e+01
153	G36	100	7.792352e+00
154	G01	68	6.927850e+00
155	G27	50	1.041383e+01
156	B37	66	1.076118e+01
157	G31	62	1.064142e+01
158	B25	56	8.863412e+00
159	B36	78	8.297383e+00
160	B34	90	1.598543e+01
161	G25	100	1.107258e+01
162	G28	56	6.696768e+00
163	G16	100	8.970036e+00
164	B29	81	7.571883e+00
165	G17	64	1.146666e+01
166	G29	7	1.395895e+01
167	G11	97	1.272100e+01
168	B13	76	1.308067e+01
169	B32	100	5.724286e+00
170	G20	84	6.201904e+00
171	G07	83	9.079591e+00
172	G24	56	9.202863e+00
173	G21	100	7.970045e+00
174	G39	67	9.093413e+00
175	B33	90	5.800855e+00
176	B35	94	1.101208e+01
