Trial	Identity	Answer	ReactionTime[s]	
1	B14	59	4.584470e+01
2	G35	58	1.606806e+01
3	G20	51	1.418423e+01
4	B33	42	1.236480e+01
5	G31	45	1.179967e+01
6	B21	68	1.157229e+01
7	B09	53	1.221039e+01
8	G37	47	1.088214e+01
9	G25	50	1.071534e+01
10	B32	73	1.043436e+01
11	B13	64	9.070116e+00
12	B28	68	1.003805e+01
13	G05	64	1.039572e+01
14	G23	42	9.001018e+00
15	G29	42	9.440975e+00
16	B41	55	9.118320e+00
17	B40	68	9.715879e+00
18	G36	63	8.117971e+00
19	B26	66	8.164129e+00
20	G17	53	7.212416e+00
21	G11	72	1.106695e+01
22	B25	58	1.027321e+01
23	G28	54	9.340237e+00
24	G22	57	9.174142e+00
25	G15	63	7.717586e+00
26	B37	60	7.182809e+00
27	G27	66	9.461888e+00
28	B16	43	6.396553e+00
29	B35	53	8.735167e+00
30	B36	59	8.592469e+00
31	G39	35	7.350732e+00
32	B29	72	8.658165e+00
33	B34	53	8.590529e+00
34	G08	46	6.624400e+00
35	B24	60	7.205385e+00
36	G07	56	8.227839e+00
37	G01	49	8.196115e+00
38	G09	76	1.041901e+01
39	G21	50	7.084936e+00
40	B23	58	7.515850e+00
41	B15	71	8.418129e+00
42	B20	48	7.744750e+00
43	G16	57	6.649377e+00
44	G24	49	7.981876e+00
45	B14	59	7.375761e+00
46	B21	72	6.959194e+00
47	G15	65	7.269110e+00
48	G31	45	7.953184e+00
49	G11	48	7.250737e+00
50	G05	58	7.364992e+00
51	G28	47	6.542369e+00
52	B41	62	6.542350e+00
53	B35	80	6.376008e+00
54	G21	59	7.608088e+00
55	G01	65	9.897093e+00
56	G08	50	7.837826e+00
57	G23	60	6.443422e+00
58	B26	62	6.600652e+00
59	B34	69	6.687681e+00
60	B28	59	7.034192e+00
61	G20	60	6.871175e+00
62	G22	56	6.452476e+00
63	B23	72	8.851556e+00
64	G29	44	6.564753e+00
65	G36	68	6.816880e+00
66	B32	78	8.143752e+00
67	G07	83	5.876115e+00
68	G35	49	7.242162e+00
69	G24	56	6.527733e+00
70	G16	76	6.269955e+00
71	B33	48	6.663704e+00
72	G27	57	6.940536e+00
73	B29	75	8.206758e+00
74	B13	50	6.756338e+00
75	B24	55	8.439850e+00
76	B25	59	9.986180e+00
77	B37	48	8.254852e+00
78	B20	66	8.668140e+00
79	G17	49	6.202906e+00
80	B09	54	6.360568e+00
81	G39	43	7.197145e+00
82	B36	68	8.433965e+00
83	B15	61	6.304098e+00
84	G09	52	6.297490e+00
85	G25	48	8.176102e+00
86	B16	57	5.802923e+00
87	B40	71	6.633347e+00
88	G37	52	7.348375e+00
89	G29	56	5.781720e+00
90	B25	67	6.792547e+00
91	B09	49	7.865570e+00
92	B23	64	5.970822e+00
93	B34	67	6.663505e+00
94	G28	46	5.849818e+00
95	G21	61	5.546799e+00
96	B26	71	5.761864e+00
97	G11	50	6.306551e+00
98	B37	47	9.882813e+00
99	G39	53	9.746445e+00
100	G35	46	6.070076e+00
101	B24	57	7.447269e+00
102	G20	65	7.329675e+00
103	B13	65	6.062581e+00
104	G23	34	5.869075e+00
105	G07	65	5.887926e+00
106	G08	56	6.106118e+00
107	G22	42	9.852113e+00
108	G16	68	6.153475e+00
109	B40	72	6.157136e+00
110	B16	50	5.658614e+00
111	G31	62	6.057734e+00
112	G09	68	6.499022e+00
113	B33	47	5.783544e+00
114	G17	69	6.189239e+00
115	G27	59	1.038170e+01
116	B20	59	7.666984e+00
117	G01	60	6.462403e+00
118	B28	47	5.722854e+00
119	B29	70	9.205267e+00
120	B14	61	6.077996e+00
121	G15	74	5.584982e+00
122	G25	62	5.718694e+00
123	G24	66	7.652632e+00
124	B15	78	9.030071e+00
125	B36	46	6.514397e+00
126	G05	56	8.353160e+00
127	B32	77	5.806852e+00
128	B21	76	7.909067e+00
129	B35	60	6.568299e+00
130	G36	53	6.346847e+00
131	G37	58	6.717068e+00
132	B41	57	7.569613e+00
133	B24	61	6.689362e+00
134	B15	88	8.507639e+00
135	G08	55	6.407840e+00
136	G05	61	5.828940e+00
137	B16	48	6.647370e+00
138	B26	62	7.563044e+00
139	B14	76	8.090825e+00
140	B28	44	8.308799e+00
141	B20	74	8.486856e+00
142	G22	61	7.731857e+00
143	G35	60	7.671610e+00
144	G23	56	7.995586e+00
145	B23	74	5.962320e+00
146	B21	72	8.182304e+00
147	B40	89	6.921916e+00
148	G15	87	6.775850e+00
149	B09	55	7.591788e+00
150	G37	64	1.116460e+01
151	B41	61	7.793846e+00
152	G09	68	6.126394e+00
153	G36	69	6.549926e+00
154	G01	60	7.531975e+00
155	G27	64	1.029437e+01
156	B37	66	2.049922e+01
157	G31	58	6.954433e+00
158	B25	71	6.532393e+00
159	B36	63	8.749822e+00
160	B34	72	8.486038e+00
161	G25	73	8.383197e+00
162	G28	61	6.440022e+00
163	G16	92	8.824346e+00
164	B29	67	9.004960e+00
165	G17	70	5.996771e+00
166	G29	41	5.817809e+00
167	G11	53	7.189843e+00
168	B13	57	6.009554e+00
169	B32	99	5.753380e+00
170	G20	64	5.933589e+00
171	G07	81	9.069814e+00
172	G24	55	5.824482e+00
173	G21	66	6.413787e+00
174	G39	82	9.428460e+00
175	B33	74	5.824325e+00
176	B35	75	6.082541e+00
