Trial	Identity	Answer	ReactionTime[s]	
1	B14	64	1.309316e+01
2	G35	54	1.170575e+01
3	G20	44	9.429203e+00
4	B33	33	1.063366e+01
5	G31	25	1.132972e+01
6	B21	47	1.098573e+01
7	B09	26	7.896825e+00
8	G37	25	1.097671e+01
9	G25	44	1.009153e+01
10	B32	66	1.003728e+01
11	B13	50	9.485826e+00
12	B28	33	1.108480e+01
13	G05	29	9.441576e+00
14	G23	17	1.039344e+01
15	G29	64	1.044039e+01
16	B41	29	1.078885e+01
17	B40	35	7.954535e+00
18	G36	50	9.470987e+00
19	B26	36	1.045958e+01
20	G17	32	1.163066e+01
21	G11	31	1.102078e+01
22	B25	45	9.098479e+00
23	G28	34	1.065602e+01
24	G22	33	1.124544e+01
25	G15	36	1.022905e+01
26	B37	20	9.624660e+00
27	G27	31	1.145935e+01
28	B16	38	8.228078e+00
29	B35	51	9.146082e+00
30	B36	46	1.003662e+01
31	G39	40	8.531110e+00
32	B29	44	9.355425e+00
33	B34	42	9.066668e+00
34	G08	41	1.040153e+01
35	B24	43	1.116558e+01
36	G07	61	9.629694e+00
37	G01	52	9.110246e+00
38	G09	48	9.511299e+00
39	G21	41	8.941850e+00
40	B23	50	1.079057e+01
41	B15	71	9.972709e+00
42	B20	52	1.042397e+01
43	G16	48	7.855100e+00
44	G24	26	1.053742e+01
45	B14	62	8.532977e+00
46	B21	56	8.485622e+00
47	G15	49	9.570838e+00
48	G31	33	1.029436e+01
49	G11	36	1.041590e+01
50	G05	46	9.849319e+00
51	G28	26	1.038668e+01
52	B41	27	7.228847e+00
53	B35	39	8.492465e+00
54	G21	41	8.243184e+00
55	G01	48	9.287761e+00
56	G08	35	8.539851e+00
57	G23	29	1.107679e+01
58	B26	43	9.804431e+00
59	B34	40	1.066895e+01
60	B28	42	9.055330e+00
61	G20	50	8.379126e+00
62	G22	32	9.730811e+00
63	B23	47	9.117292e+00
64	G29	72	8.657959e+00
65	G36	47	7.825755e+00
66	B32	49	1.096595e+01
67	G07	50	8.878059e+00
68	G35	42	9.863379e+00
69	G24	25	8.408039e+00
70	G16	37	5.778291e+00
71	B33	22	8.418545e+00
72	G27	30	1.047819e+01
73	B29	46	8.403514e+00
74	B13	39	6.187929e+00
75	B24	25	1.047916e+01
76	B25	35	1.006905e+01
77	B37	30	9.899193e+00
78	B20	40	1.048835e+01
79	G17	46	8.786340e+00
80	B09	44	7.458464e+00
81	G39	30	1.088775e+01
82	B36	47	9.763414e+00
83	B15	64	7.994992e+00
84	G09	51	8.496472e+00
85	G25	48	1.074500e+01
86	B16	37	9.531677e+00
87	B40	43	1.061406e+01
88	G37	41	1.044367e+01
89	G29	68	1.043094e+01
90	B25	35	1.067041e+01
91	B09	42	9.024796e+00
92	B23	43	9.680549e+00
93	B34	42	1.049109e+01
94	G28	30	8.791890e+00
95	G21	44	8.443996e+00
96	B26	59	1.757534e+01
97	G11	35	1.048483e+01
98	B37	38	1.076541e+01
99	G39	35	7.654686e+00
100	G35	49	1.050826e+01
101	B24	35	9.047794e+00
102	G20	50	9.033439e+00
103	B13	52	8.319942e+00
104	G23	23	1.029476e+01
105	G07	46	9.018192e+00
106	G08	29	1.046737e+01
107	G22	29	8.967251e+00
108	G16	50	9.582809e+00
109	B40	67	8.169431e+00
110	B16	44	8.143491e+00
111	G31	42	9.958942e+00
112	G09	55	8.537912e+00
113	B33	35	8.933098e+00
114	G17	31	1.138562e+01
115	G27	31	1.055439e+01
116	B20	45	1.085714e+01
117	G01	41	1.025338e+01
118	B28	39	1.083720e+01
119	B29	39	1.106873e+01
120	B14	58	1.067769e+01
121	G15	49	1.141778e+01
122	G25	41	9.707729e+00
123	G24	25	1.029942e+01
124	B15	50	2.936261e+01
125	B36	48	1.089065e+01
126	G05	42	1.080770e+01
127	B32	64	8.830762e+00
128	B21	54	9.014110e+00
129	B35	46	1.070021e+01
130	G36	43	9.227473e+00
131	G37	39	1.023164e+01
132	B41	31	1.093758e+01
133	B24	46	9.242484e+00
134	B15	69	1.145009e+01
135	G08	42	1.016744e+01
136	G05	47	8.645751e+00
137	B16	42	1.011684e+01
138	B26	53	1.168540e+01
139	B14	51	9.474472e+00
140	B28	28	1.115040e+01
141	B20	38	1.160604e+01
142	G22	28	1.114589e+01
143	G35	36	1.135736e+01
144	G23	29	1.098251e+01
145	B23	37	1.131584e+01
146	B21	53	1.161637e+01
147	B40	45	7.669696e+00
148	G15	53	1.111927e+01
149	B09	44	1.113604e+01
150	G37	29	1.006373e+01
151	B41	21	8.756277e+00
152	G09	50	7.393957e+00
153	G36	44	1.175054e+01
154	G01	42	1.085438e+01
155	G27	33	1.078100e+01
156	B37	29	7.770424e+00
157	G31	41	1.091587e+01
158	B25	31	1.093327e+01
159	B36	35	1.100631e+01
160	B34	41	1.167084e+01
161	G25	41	1.057788e+01
162	G28	36	8.873223e+00
163	G16	53	1.143977e+01
164	B29	43	1.088777e+01
165	G17	39	1.106367e+01
166	G29	77	1.127760e+01
167	G11	35	9.388184e+00
168	B13	47	9.769989e+00
169	B32	63	1.098621e+01
170	G20	50	9.392550e+00
171	G07	55	1.024371e+01
172	G24	27	1.312195e+01
173	G21	35	1.138988e+01
174	G39	36	9.849281e+00
175	B33	40	1.107171e+01
176	B35	59	1.115312e+01
