Trial	Identity	Answer	ReactionTime[s]	
1	B14	68	1.391828e+01
2	G35	63	7.811054e+00
3	G20	91	7.739660e+00
4	B33	49	6.152553e+00
5	G31	49	6.672025e+00
6	B21	45	6.667964e+00
7	B09	51	6.055013e+00
8	G37	40	6.026337e+00
9	G25	49	6.641705e+00
10	B32	73	5.719795e+00
11	B13	53	6.934399e+00
12	B28	61	1.196105e+01
13	G05	34	5.737286e+00
14	G23	10	6.853813e+00
15	G29	63	6.426949e+00
16	B41	62	6.043599e+00
17	B40	66	5.858190e+00
18	G36	45	5.848418e+00
19	B26	56	5.868818e+00
20	G17	50	6.175268e+00
21	G11	30	5.707573e+00
22	B25	51	7.649122e+00
23	G28	24	5.652261e+00
24	G22	47	5.674723e+00
25	G15	87	5.924463e+00
26	B37	56	5.914123e+00
27	G27	45	6.383085e+00
28	B16	39	5.994250e+00
29	B35	79	6.387651e+00
30	B36	85	6.368662e+00
31	G39	37	5.743714e+00
32	B29	75	5.800570e+00
33	B34	66	6.045805e+00
34	G08	40	8.285562e+00
35	B24	60	7.701274e+00
36	G07	65	8.286058e+00
37	G01	67	5.894876e+00
38	G09	85	7.304646e+00
39	G21	49	5.905974e+00
40	B23	50	6.491146e+00
41	B15	58	5.927188e+00
42	B20	64	5.810810e+00
43	G16	63	7.341216e+00
44	G24	32	5.804564e+00
45	B14	50	5.952169e+00
46	B21	77	5.967721e+00
47	G15	88	5.813153e+00
48	G31	64	6.562297e+00
49	G11	49	6.031357e+00
50	G05	64	7.651827e+00
51	G28	40	6.463725e+00
52	B41	60	6.089869e+00
53	B35	84	8.904810e+00
54	G21	55	9.541297e+00
55	G01	65	8.432445e+00
56	G08	66	6.038457e+00
57	G23	32	8.546450e+00
58	B26	60	5.807466e+00
59	B34	86	5.836164e+00
60	B28	70	5.900829e+00
61	G20	81	6.020411e+00
62	G22	55	6.501749e+00
63	B23	51	8.301767e+00
64	G29	71	5.900522e+00
65	G36	59	6.021404e+00
66	B32	14	7.293294e+00
67	G07	56	5.690838e+00
68	G35	62	6.373397e+00
69	G24	13	6.459225e+00
70	G16	32	6.197238e+00
71	B33	30	6.347744e+00
72	G27	49	8.040287e+00
73	B29	52	5.958802e+00
74	B13	81	5.770184e+00
75	B24	63	8.258092e+00
76	B25	38	6.516182e+00
77	B37	19	5.824416e+00
78	B20	63	7.598657e+00
79	G17	37	6.705059e+00
80	B09	65	6.527794e+00
81	G39	13	5.876693e+00
82	B36	65	6.556317e+00
83	B15	40	8.418650e+00
84	G09	63	7.623004e+00
85	G25	43	6.286165e+00
86	B16	35	6.053810e+00
87	B40	89	6.357587e+00
88	G37	70	6.074712e+00
89	G29	61	6.501873e+00
90	B25	63	6.609785e+00
91	B09	80	6.202572e+00
92	B23	73	5.989396e+00
93	B34	69	8.670758e+00
94	G28	50	7.546958e+00
95	G21	53	5.817226e+00
96	B26	83	5.907309e+00
97	G11	37	7.133066e+00
98	B37	26	6.236180e+00
99	G39	49	5.785751e+00
100	G35	60	6.743537e+00
101	B24	59	7.346154e+00
102	G20	71	6.214194e+00
103	B13	48	6.308123e+00
104	G23	38	6.752644e+00
105	G07	82	6.156136e+00
106	G08	38	5.879634e+00
107	G22	33	6.761031e+00
108	G16	81	6.372756e+00
109	B40	84	6.462193e+00
110	B16	15	5.817208e+00
111	G31	60	8.654962e+00
112	G09	72	7.751852e+00
113	B33	58	7.132685e+00
114	G17	68	5.670385e+00
115	G27	35	5.848014e+00
116	B20	56	8.765530e+00
117	G01	77	8.893898e+00
118	B28	37	7.161561e+00
119	B29	62	8.262359e+00
120	B14	41	5.969425e+00
121	G15	58	5.770657e+00
122	G25	53	8.369899e+00
123	G24	30	7.570882e+00
124	B15	48	5.615141e+00
125	B36	68	6.087249e+00
126	G05	71	6.099692e+00
127	B32	80	5.796328e+00
128	B21	72	5.903722e+00
129	B35	84	5.634084e+00
130	G36	59	5.813048e+00
131	G37	47	7.095325e+00
132	B41	96	7.145567e+00
133	B24	58	6.194766e+00
134	B15	70	5.896947e+00
135	G08	52	5.893093e+00
136	G05	29	6.055236e+00
137	B16	54	6.526802e+00
138	B26	81	5.934552e+00
139	B14	51	6.979258e+00
140	B28	49	5.837289e+00
141	B20	58	8.811775e+00
142	G22	70	8.388509e+00
143	G35	79	8.059716e+00
144	G23	11	7.602100e+00
145	B23	59	6.611680e+00
146	B21	58	5.993856e+00
147	B40	84	6.300516e+00
148	G15	87	6.172338e+00
149	B09	67	7.947443e+00
150	G37	53	7.007363e+00
151	B41	31	8.478650e+00
152	G09	60	7.278273e+00
153	G36	32	7.868343e+00
154	G01	53	7.840277e+00
155	G27	40	8.582510e+00
156	B37	35	8.305979e+00
157	G31	32	7.565533e+00
158	B25	44	1.100652e+01
159	B36	38	1.028046e+01
160	B34	76	6.972492e+00
161	G25	67	5.820821e+00
162	G28	55	6.118850e+00
163	G16	48	6.551565e+00
164	B29	63	5.838664e+00
165	G17	77	6.174588e+00
166	G29	47	7.381536e+00
167	G11	29	6.424185e+00
168	B13	60	8.831878e+00
169	B32	95	9.962327e+00
170	G20	45	1.132697e+01
171	G07	53	9.708281e+00
172	G24	31	8.281594e+00
173	G21	35	8.263641e+00
174	G39	87	9.032177e+00
175	B33	35	6.664527e+00
176	B35	71	7.175705e+00
