Trial	Identity	Answer	ReactionTime[s]	
1	B14	37	1.316244e+01
2	G35	54	9.330366e+00
3	G20	54	7.206235e+00
4	B33	21	6.457150e+00
5	G31	28	6.676965e+00
6	B21	39	6.235817e+00
7	B09	34	5.953198e+00
8	G37	28	6.003008e+00
9	G25	48	6.110941e+00
10	B32	90	5.931197e+00
11	B13	74	6.155413e+00
12	B28	62	6.624260e+00
13	G05	50	6.065515e+00
14	G23	32	6.581974e+00
15	G29	57	6.466588e+00
16	B41	70	6.092984e+00
17	B40	62	6.043013e+00
18	G36	47	6.252431e+00
19	B26	49	6.148053e+00
20	G17	40	6.108821e+00
21	G11	39	6.137779e+00
22	B25	43	6.625932e+00
23	G28	27	5.771943e+00
24	G22	48	7.219417e+00
25	G15	56	6.214991e+00
26	B37	24	5.893499e+00
27	G27	37	6.790717e+00
28	B16	49	6.150876e+00
29	B35	62	5.947631e+00
30	B36	52	7.279105e+00
31	G39	52	6.086761e+00
32	B29	60	5.858787e+00
33	B34	59	6.352763e+00
34	G08	44	6.548720e+00
35	B24	33	6.342843e+00
36	G07	53	5.938915e+00
37	G01	43	7.293564e+00
38	G09	49	5.924138e+00
39	G21	60	6.291313e+00
40	B23	52	6.044194e+00
41	B15	63	5.819141e+00
42	B20	29	7.482629e+00
43	G16	48	5.606838e+00
44	G24	21	6.130891e+00
45	B14	48	5.839716e+00
46	B21	51	5.997722e+00
47	G15	69	5.589897e+00
48	G31	59	5.823030e+00
49	G11	29	5.681397e+00
50	G05	31	5.737785e+00
51	G28	49	5.834214e+00
52	B41	39	5.553426e+00
53	B35	84	5.814392e+00
54	G21	23	5.951778e+00
55	G01	51	5.958927e+00
56	G08	39	5.838055e+00
57	G23	48	5.709560e+00
58	B26	59	6.342821e+00
59	B34	72	5.852306e+00
60	B28	80	5.801249e+00
61	G20	48	5.685884e+00
62	G22	37	5.759643e+00
63	B23	55	7.195554e+00
64	G29	60	5.952205e+00
65	G36	50	5.753650e+00
66	B32	40	6.544337e+00
67	G07	37	5.707315e+00
68	G35	47	5.834739e+00
69	G24	53	6.569898e+00
70	G16	62	6.026609e+00
71	B33	52	6.212042e+00
72	G27	38	5.882113e+00
73	B29	56	5.719170e+00
74	B13	61	6.596580e+00
75	B24	49	5.797801e+00
76	B25	65	5.863464e+00
77	B37	35	5.717344e+00
78	B20	63	5.657798e+00
79	G17	39	5.576660e+00
80	B09	46	6.113855e+00
81	G39	59	5.775842e+00
82	B36	53	5.766771e+00
83	B15	71	5.922779e+00
84	G09	73	5.800405e+00
85	G25	61	5.904131e+00
86	B16	31	5.625743e+00
87	B40	55	7.585527e+00
88	G37	40	6.438298e+00
89	G29	68	5.619966e+00
90	B25	34	6.053770e+00
91	B09	61	5.749095e+00
92	B23	58	5.937678e+00
93	B34	44	6.743245e+00
94	G28	48	5.485301e+00
95	G21	39	5.751218e+00
96	B26	51	5.806733e+00
97	G11	38	5.787908e+00
98	B37	62	7.373750e+00
99	G39	62	5.934582e+00
100	G35	54	6.062724e+00
101	B24	54	6.519445e+00
102	G20	60	5.566745e+00
103	B13	46	5.491467e+00
104	G23	57	5.661481e+00
105	G07	55	7.290193e+00
106	G08	52	6.655210e+00
107	G22	57	5.651092e+00
108	G16	43	5.918492e+00
109	B40	57	7.733051e+00
110	B16	48	7.621748e+00
111	G31	58	5.821381e+00
112	G09	50	5.817106e+00
113	B33	64	5.605399e+00
114	G17	48	6.831030e+00
115	G27	44	6.526730e+00
116	B20	48	5.781835e+00
117	G01	55	6.594626e+00
118	B28	62	6.347829e+00
119	B29	64	5.950877e+00
120	B14	49	5.635171e+00
121	G15	53	5.741563e+00
122	G25	51	6.502021e+00
123	G24	28	5.670077e+00
124	B15	60	5.322286e+00
125	B36	62	5.831260e+00
126	G05	43	5.949643e+00
127	B32	54	5.740729e+00
128	B21	54	5.853223e+00
129	B35	40	5.888269e+00
130	G36	68	5.714337e+00
131	G37	49	6.446452e+00
132	B41	46	7.839138e+00
133	B24	55	5.476484e+00
134	B15	52	5.488923e+00
135	G08	33	5.546164e+00
136	G05	42	5.746803e+00
137	B16	36	6.445690e+00
138	B26	28	5.828633e+00
139	B14	34	5.712871e+00
140	B28	50	5.928330e+00
141	B20	42	5.716892e+00
142	G22	42	5.747415e+00
143	G35	44	5.944848e+00
144	G23	38	5.992637e+00
145	B23	33	6.262031e+00
146	B21	39	5.839749e+00
147	B40	42	5.775817e+00
148	G15	54	6.313044e+00
149	B09	61	5.912792e+00
150	G37	44	5.973947e+00
151	B41	55	6.075139e+00
152	G09	61	5.695600e+00
153	G36	43	5.665781e+00
154	G01	41	5.876843e+00
155	G27	58	6.043982e+00
156	B37	50	5.847476e+00
157	G31	58	5.765369e+00
158	B25	53	5.804251e+00
159	B36	56	5.793633e+00
160	B34	49	5.780652e+00
161	G25	37	5.782203e+00
162	G28	54	5.528495e+00
163	G16	45	5.803127e+00
164	B29	50	5.760363e+00
165	G17	48	5.848467e+00
166	G29	50	5.746555e+00
167	G11	50	6.160611e+00
168	B13	74	5.977941e+00
169	B32	86	5.671544e+00
170	G20	49	5.532862e+00
171	G07	44	5.760986e+00
172	G24	45	5.497866e+00
173	G21	53	5.598526e+00
174	G39	53	5.735540e+00
175	B33	52	5.789596e+00
176	B35	54	5.449687e+00
