Trial	Identity	Answer	ReactionTime[s]	
1	B14	72	2.607384e+01
2	G35	56	1.281000e+01
3	G20	56	1.022818e+01
4	B33	44	9.945061e+00
5	G31	41	1.116419e+01
6	B21	52	1.029014e+01
7	B09	34	6.612788e+00
8	G37	35	1.052575e+01
9	G25	45	9.291422e+00
10	B32	39	8.651374e+00
11	B13	56	6.545418e+00
12	B28	49	1.120178e+01
13	G05	50	9.202943e+00
14	G23	18	9.418330e+00
15	G29	70	6.169552e+00
16	B41	20	7.701020e+00
17	B40	55	2.876612e+01
18	G36	30	8.159264e+00
19	B26	30	7.262204e+00
20	G17	43	1.008791e+01
21	G11	41	9.897947e+00
22	B25	43	9.732423e+00
23	G28	22	8.152571e+00
24	G22	39	9.632732e+00
25	G15	39	1.237470e+01
26	B37	29	8.514707e+00
27	G27	46	1.034538e+01
28	B16	49	8.181156e+00
29	B35	61	6.446855e+00
30	B36	56	6.197277e+00
31	G39	30	6.443577e+00
32	B29	61	1.029517e+01
33	B34	48	1.300034e+01
34	G08	39	1.059332e+01
35	B24	48	8.452159e+00
36	G07	59	8.154322e+00
37	G01	42	7.056746e+00
38	G09	48	7.587790e+00
39	G21	40	1.052474e+01
40	B23	50	5.802771e+00
41	B15	58	1.003681e+01
42	B20	44	8.898282e+00
43	G16	46	1.281785e+01
44	G24	37	9.845900e+00
45	B14	61	8.372054e+00
46	B21	55	1.893888e+01
47	G15	48	2.793134e+01
48	G31	40	5.789303e+00
49	G11	29	9.396438e+00
50	G05	41	5.950960e+00
51	G28	44	1.428782e+01
52	B41	31	8.444341e+00
53	B35	65	5.769549e+00
54	G21	43	5.856883e+00
55	G01	43	9.169567e+00
56	G08	49	6.057635e+00
57	G23	35	9.395208e+00
58	B26	41	1.531474e+01
59	B34	40	1.019588e+01
60	B28	57	8.852550e+00
61	G20	54	7.581400e+00
62	G22	28	8.799027e+00
63	B23	39	6.200677e+00
64	G29	64	6.637137e+00
65	G36	57	1.415388e+01
66	B32	62	1.704071e+01
67	G07	51	7.790239e+00
68	G35	44	1.050666e+01
69	G24	36	8.420107e+00
70	G16	61	9.374257e+00
71	B33	43	8.639096e+00
72	G27	33	8.134460e+00
73	B29	48	6.533141e+00
74	B13	69	8.153654e+00
75	B24	42	1.352296e+01
76	B25	49	1.053893e+01
77	B37	49	1.131050e+01
78	B20	51	9.945424e+00
79	G17	58	1.550269e+01
80	B09	53	1.302806e+01
81	G39	44	8.380296e+00
82	B36	54	9.298397e+00
83	B15	68	5.582091e+00
84	G09	45	6.120604e+00
85	G25	57	2.054232e+01
86	B16	49	8.631875e+00
87	B40	58	6.044593e+00
88	G37	54	6.776206e+00
89	G29	64	6.042371e+00
90	B25	43	1.013663e+01
91	B09	69	5.601778e+00
92	B23	72	1.008035e+01
93	B34	48	9.062944e+00
94	G28	54	6.971558e+00
95	G21	40	8.139272e+00
96	B26	53	8.683724e+00
97	G11	25	6.131613e+00
98	B37	37	8.499434e+00
99	G39	42	5.874070e+00
100	G35	53	8.615874e+00
101	B24	39	8.118504e+00
102	G20	69	1.014222e+01
103	B13	51	9.057632e+00
104	G23	32	8.044023e+00
105	G07	62	7.928077e+00
106	G08	40	6.067319e+00
107	G22	29	8.149533e+00
108	G16	67	7.913310e+00
109	B40	52	1.592625e+01
110	B16	41	6.363711e+00
111	G31	47	5.782274e+00
112	G09	55	1.393778e+01
113	B33	54	6.220597e+00
114	G17	42	6.683630e+00
115	G27	39	7.213567e+00
116	B20	51	5.866478e+00
117	G01	47	1.290184e+01
118	B28	51	6.278984e+00
119	B29	54	7.913194e+00
120	B14	71	6.935150e+00
121	G15	62	6.468479e+00
122	G25	50	1.493561e+01
123	G24	31	1.122335e+01
124	B15	49	8.929680e+00
125	B36	44	1.035463e+01
126	G05	48	9.961807e+00
127	B32	63	7.865992e+00
128	B21	49	6.479891e+00
129	B35	56	1.007283e+01
130	G36	47	5.794996e+00
131	G37	34	1.041149e+01
132	B41	28	7.427331e+00
133	B24	33	6.952157e+00
134	B15	66	1.481804e+01
135	G08	38	8.668933e+00
136	G05	49	1.011473e+01
137	B16	47	1.068844e+01
138	B26	36	1.678770e+01
139	B14	59	5.912901e+00
140	B28	36	1.566309e+01
141	B20	42	1.340364e+01
142	G22	40	7.605288e+00
143	G35	39	1.123378e+01
144	G23	26	8.136202e+00
145	B23	52	1.171629e+01
146	B21	49	8.314776e+00
147	B40	63	6.683548e+00
148	G15	64	6.109876e+00
149	B09	52	5.754552e+00
150	G37	37	1.981308e+01
151	B41	33	9.881061e+00
152	G09	53	7.500100e+00
153	G36	31	5.653003e+00
154	G01	42	9.924356e+00
155	G27	42	7.587185e+00
156	B37	44	7.712303e+00
157	G31	40	5.719329e+00
158	B25	39	7.144684e+00
159	B36	43	1.426542e+01
160	B34	55	1.174418e+01
161	G25	58	6.060778e+00
162	G28	45	1.308666e+01
163	G16	53	9.584805e+00
164	B29	52	7.492756e+00
165	G17	45	1.335052e+01
166	G29	57	9.297963e+00
167	G11	27	5.908591e+00
168	B13	55	7.637781e+00
169	B32	87	1.072347e+01
170	G20	46	7.709079e+00
171	G07	50	7.378842e+00
172	G24	52	8.345324e+00
173	G21	33	7.794886e+00
174	G39	60	7.377696e+00
175	B33	37	7.411888e+00
176	B35	56	7.295265e+00
