Trial	Identity	Answer	ReactionTime[s]	
1	B14	54	1.273692e+01
2	G35	59	1.216203e+01
3	G20	59	1.011051e+01
4	B33	53	8.547382e+00
5	G31	53	7.724191e+00
6	B21	60	9.217658e+00
7	B09	54	6.588052e+00
8	G37	37	1.109674e+01
9	G25	62	1.004426e+01
10	B32	45	1.120177e+01
11	B13	52	7.279119e+00
12	B28	45	6.825774e+00
13	G05	54	9.153544e+00
14	G23	41	8.901485e+00
15	G29	57	8.354990e+00
16	B41	32	8.863142e+00
17	B40	44	8.518294e+00
18	G36	43	6.891405e+00
19	B26	40	6.515957e+00
20	G17	35	9.530646e+00
21	G11	36	6.365062e+00
22	B25	50	9.125060e+00
23	G28	40	7.016423e+00
24	G22	38	9.346618e+00
25	G15	49	5.973940e+00
26	B37	30	5.719948e+00
27	G27	61	8.394728e+00
28	B16	41	8.372377e+00
29	B35	62	7.281701e+00
30	B36	40	8.731976e+00
31	G39	45	1.120999e+01
32	B29	63	2.350903e+01
33	B34	57	8.047923e+00
34	G08	43	9.427185e+00
35	B24	43	1.106397e+01
36	G07	53	7.453076e+00
37	G01	53	5.518609e+00
38	G09	57	6.785522e+00
39	G21	57	7.407436e+00
40	B23	50	8.973863e+00
41	B15	67	5.414761e+00
42	B20	53	9.686648e+00
43	G16	48	9.374909e+00
44	G24	26	1.075004e+01
45	B14	59	6.672966e+00
46	B21	60	1.022058e+01
47	G15	62	1.044802e+01
48	G31	47	7.580779e+00
49	G11	32	1.089047e+01
50	G05	60	1.048771e+01
51	G28	44	6.646398e+00
52	B41	44	1.012749e+01
53	B35	54	1.037886e+01
54	G21	48	9.447852e+00
55	G01	57	6.330488e+00
56	G08	43	1.088240e+01
57	G23	31	7.258427e+00
58	B26	60	8.741001e+00
59	B34	60	6.871141e+00
60	B28	42	9.796043e+00
61	G20	57	9.154332e+00
62	G22	35	8.008674e+00
63	B23	44	5.546096e+00
64	G29	51	6.915835e+00
65	G36	61	5.603689e+00
66	B32	69	6.732003e+00
67	G07	65	6.146141e+00
68	G35	68	9.141675e+00
69	G24	43	7.785013e+00
70	G16	62	6.404085e+00
71	B33	43	5.773402e+00
72	G27	65	7.666283e+00
73	B29	74	5.741484e+00
74	B13	64	6.705720e+00
75	B24	62	8.217356e+00
76	B25	63	1.083447e+01
77	B37	34	6.221534e+00
78	B20	57	6.992742e+00
79	G17	51	7.820451e+00
80	B09	59	6.242534e+00
81	G39	51	6.419239e+00
82	B36	56	6.081471e+00
83	B15	75	6.007084e+00
84	G09	56	7.618825e+00
85	G25	55	8.798462e+00
86	B16	32	5.595161e+00
87	B40	48	8.217023e+00
88	G37	47	8.592305e+00
89	G29	53	7.116243e+00
90	B25	64	6.900049e+00
91	B09	54	5.523515e+00
92	B23	55	8.407534e+00
93	B34	63	8.091104e+00
94	G28	53	9.253454e+00
95	G21	48	6.654852e+00
96	B26	59	6.708349e+00
97	G11	35	5.471799e+00
98	B37	43	7.787584e+00
99	G39	53	1.013414e+01
100	G35	54	8.335004e+00
101	B24	48	1.087402e+01
102	G20	69	6.376801e+00
103	B13	58	7.456322e+00
104	G23	29	7.683904e+00
105	G07	67	9.603832e+00
106	G08	44	9.479860e+00
107	G22	43	7.850443e+00
108	G16	73	8.337479e+00
109	B40	59	8.132481e+00
110	B16	37	7.722588e+00
111	G31	39	6.114088e+00
112	G09	64	9.429560e+00
113	B33	54	9.008840e+00
114	G17	58	1.030637e+01
115	G27	42	7.623417e+00
116	B20	58	8.140191e+00
117	G01	58	7.597840e+00
118	B28	55	8.650573e+00
119	B29	84	7.907451e+00
120	B14	65	7.560421e+00
121	G15	58	5.812196e+00
122	G25	68	7.149405e+00
123	G24	45	1.015443e+01
124	B15	69	6.225128e+00
125	B36	55	9.763062e+00
126	G05	62	8.938588e+00
127	B32	70	5.406199e+00
128	B21	64	1.103294e+01
129	B35	66	6.368805e+00
130	G36	63	5.641743e+00
131	G37	47	5.661000e+00
132	B41	45	5.948116e+00
133	B24	48	1.067013e+01
134	B15	93	6.740482e+00
135	G08	40	8.597855e+00
136	G05	57	7.597310e+00
137	B16	35	8.011904e+00
138	B26	62	5.915110e+00
139	B14	55	7.471129e+00
140	B28	39	5.487524e+00
141	B20	57	6.604208e+00
142	G22	53	5.639773e+00
143	G35	62	8.197603e+00
144	G23	35	7.727130e+00
145	B23	53	6.138767e+00
146	B21	59	5.874566e+00
147	B40	60	5.894457e+00
148	G15	66	8.431789e+00
149	B09	57	5.714152e+00
150	G37	45	5.603781e+00
151	B41	25	1.009813e+01
152	G09	57	7.675147e+00
153	G36	61	9.132373e+00
154	G01	57	9.445800e+00
155	G27	59	7.331743e+00
156	B37	42	1.027637e+01
157	G31	47	6.957629e+00
158	B25	60	8.144676e+00
159	B36	57	6.061553e+00
160	B34	59	5.870011e+00
161	G25	74	5.618544e+00
162	G28	38	5.796149e+00
163	G16	68	5.934710e+00
164	B29	67	7.310700e+00
165	G17	63	7.306934e+00
166	G29	52	7.417198e+00
167	G11	36	6.641351e+00
168	B13	50	5.615400e+00
169	B32	85	6.310233e+00
170	G20	58	6.151162e+00
171	G07	52	5.745808e+00
172	G24	33	5.636776e+00
173	G21	37	7.841973e+00
174	G39	51	7.860354e+00
175	B33	43	8.587967e+00
176	B35	58	7.673514e+00
