Trial	Identity	Answer	ReactionTime[s]	
1	B14	66	1.142915e+01
2	G35	49	1.033397e+01
3	G20	63	8.471063e+00
4	B33	45	6.377654e+00
5	G31	58	6.928813e+00
6	B21	63	8.481898e+00
7	B09	43	5.796184e+00
8	G37	57	8.801061e+00
9	G25	47	7.437595e+00
10	B32	55	6.524963e+00
11	B13	64	6.834315e+00
12	B28	57	7.852826e+00
13	G05	51	8.629429e+00
14	G23	31	7.852167e+00
15	G29	46	6.579354e+00
16	B41	54	6.617547e+00
17	B40	60	1.120587e+01
18	G36	55	6.802905e+00
19	B26	58	6.986277e+00
20	G17	30	7.390786e+00
21	G11	40	6.688792e+00
22	B25	29	9.096188e+00
23	G28	39	8.794878e+00
24	G22	75	7.811274e+00
25	G15	54	9.409319e+00
26	B37	17	8.333949e+00
27	G27	42	5.445899e+00
28	B16	52	6.010212e+00
29	B35	58	7.045752e+00
30	B36	53	8.051812e+00
31	G39	44	7.380662e+00
32	B29	49	8.939128e+00
33	B34	66	9.382325e+00
34	G08	47	8.102914e+00
35	B24	42	1.193367e+01
36	G07	55	7.622124e+00
37	G01	53	6.643973e+00
38	G09	80	8.272908e+00
39	G21	54	7.108543e+00
40	B23	33	8.591360e+00
41	B15	65	9.046938e+00
42	B20	43	8.179714e+00
43	G16	46	7.794436e+00
44	G24	25	9.038487e+00
45	B14	68	6.127270e+00
46	B21	69	8.405995e+00
47	G15	84	7.649266e+00
48	G31	48	6.649786e+00
49	G11	36	6.330222e+00
50	G05	44	6.613734e+00
51	G28	33	1.111171e+01
52	B41	49	6.267463e+00
53	B35	59	7.318830e+00
54	G21	57	7.138198e+00
55	G01	41	5.789575e+00
56	G08	42	5.641367e+00
57	G23	32	7.778861e+00
58	B26	46	5.895111e+00
59	B34	51	8.341731e+00
60	B28	45	7.704687e+00
61	G20	46	6.661526e+00
62	G22	85	7.343114e+00
63	B23	41	1.104698e+01
64	G29	45	6.429651e+00
65	G36	55	5.652546e+00
66	B32	55	7.658731e+00
67	G07	38	6.202105e+00
68	G35	58	6.607149e+00
69	G24	44	9.157137e+00
70	G16	51	6.821806e+00
71	B33	35	6.930420e+00
72	G27	36	9.418789e+00
73	B29	66	8.036483e+00
74	B13	74	5.803340e+00
75	B24	50	9.057585e+00
76	B25	31	9.679184e+00
77	B37	35	5.410349e+00
78	B20	49	9.696092e+00
79	G17	48	8.539296e+00
80	B09	55	5.515478e+00
81	G39	36	6.022252e+00
82	B36	34	5.853821e+00
83	B15	53	5.558211e+00
84	G09	58	6.060187e+00
85	G25	55	7.359664e+00
86	B16	49	5.498423e+00
87	B40	42	8.918141e+00
88	G37	47	8.193271e+00
89	G29	54	6.161751e+00
90	B25	61	9.304905e+00
91	B09	56	9.451887e+00
92	B23	73	5.844177e+00
93	B34	62	6.750081e+00
94	G28	42	6.838499e+00
95	G21	52	6.411409e+00
96	B26	63	6.795279e+00
97	G11	26	5.805067e+00
98	B37	42	5.704103e+00
99	G39	48	6.002984e+00
100	G35	48	5.745408e+00
101	B24	44	5.582502e+00
102	G20	47	5.521311e+00
103	B13	57	5.645595e+00
104	G23	47	5.666246e+00
105	G07	57	5.739093e+00
106	G08	26	5.605828e+00
107	G22	37	5.602069e+00
108	G16	68	5.730675e+00
109	B40	43	5.718624e+00
110	B16	41	6.189073e+00
111	G31	57	5.793371e+00
112	G09	55	5.999023e+00
113	B33	63	5.633504e+00
114	G17	37	5.684773e+00
115	G27	36	6.012976e+00
116	B20	57	8.763405e+00
117	G01	42	5.659540e+00
118	B28	58	5.880582e+00
119	B29	59	5.550337e+00
120	B14	54	5.752350e+00
121	G15	64	5.591966e+00
122	G25	54	5.798010e+00
123	G24	35	7.087940e+00
124	B15	39	5.554856e+00
125	B36	60	5.710189e+00
126	G05	42	5.652052e+00
127	B32	53	6.175381e+00
128	B21	55	6.583739e+00
129	B35	53	5.606909e+00
130	G36	43	5.498470e+00
131	G37	45	5.669079e+00
132	B41	80	5.797994e+00
133	B24	46	8.387124e+00
134	B15	86	6.997209e+00
135	G08	48	8.021693e+00
136	G05	50	7.249552e+00
137	B16	59	6.697150e+00
138	B26	71	5.946392e+00
139	B14	56	6.775614e+00
140	B28	62	6.414456e+00
141	B20	52	7.308678e+00
142	G22	70	5.752462e+00
143	G35	61	5.886294e+00
144	G23	28	7.448854e+00
145	B23	78	6.467440e+00
146	B21	71	8.695480e+00
147	B40	60	5.778337e+00
148	G15	59	7.311373e+00
149	B09	47	6.109923e+00
150	G37	45	5.766591e+00
151	B41	68	6.341045e+00
152	G09	71	5.791514e+00
153	G36	47	6.425553e+00
154	G01	35	5.561466e+00
155	G27	37	6.147221e+00
156	B37	39	5.749203e+00
157	G31	50	6.684953e+00
158	B25	30	6.830106e+00
159	B36	52	5.527813e+00
160	B34	54	5.892960e+00
161	G25	30	5.838034e+00
162	G28	22	5.716396e+00
163	G16	52	5.642059e+00
164	B29	57	5.620274e+00
165	G17	57	5.717714e+00
166	G29	63	5.716160e+00
167	G11	16	5.586482e+00
168	B13	48	5.588187e+00
169	B32	77	5.601182e+00
170	G20	47	5.843666e+00
171	G07	48	6.252131e+00
172	G24	38	7.762418e+00
173	G21	31	5.451159e+00
174	G39	41	5.713570e+00
175	B33	29	6.142383e+00
176	B35	55	6.006202e+00
