Trial	Identity	Answer	ReactionTime[s]	
1	B14	38	8.557020e+00
2	G35	67	6.063427e+00
3	G20	52	8.766373e+00
4	B33	57	5.656658e+00
5	G31	37	5.704272e+00
6	B21	38	5.690488e+00
7	B09	40	5.827696e+00
8	G37	59	5.938737e+00
9	G25	60	5.555268e+00
10	B32	79	6.212478e+00
11	B13	74	6.257853e+00
12	B28	76	5.850178e+00
13	G05	57	5.698057e+00
14	G23	47	5.563452e+00
15	G29	50	7.745270e+00
16	B41	25	9.189917e+00
17	B40	62	6.250277e+00
18	G36	42	5.623756e+00
19	B26	56	6.267397e+00
20	G17	63	6.076862e+00
21	G11	54	8.098924e+00
22	B25	53	6.677402e+00
23	G28	50	5.737692e+00
24	G22	51	7.548848e+00
25	G15	55	7.708935e+00
26	B37	34	5.787367e+00
27	G27	39	6.572608e+00
28	B16	61	5.901813e+00
29	B35	64	5.961654e+00
30	B36	50	8.079025e+00
31	G39	35	8.075421e+00
32	B29	51	6.593428e+00
33	B34	56	6.462473e+00
34	G08	50	6.048291e+00
35	B24	46	7.596172e+00
36	G07	47	7.307356e+00
37	G01	47	5.677187e+00
38	G09	52	5.581256e+00
39	G21	44	6.042635e+00
40	B23	46	5.641538e+00
41	B15	69	5.696015e+00
42	B20	43	8.479528e+00
43	G16	48	6.268025e+00
44	G24	28	6.405165e+00
45	B14	53	5.587374e+00
46	B21	54	7.508909e+00
47	G15	51	6.337940e+00
48	G31	42	5.746851e+00
49	G11	42	6.415248e+00
50	G05	48	6.020608e+00
51	G28	40	6.795253e+00
52	B41	47	6.130641e+00
53	B35	53	5.580676e+00
54	G21	43	6.619318e+00
55	G01	47	5.955132e+00
56	G08	44	5.905807e+00
57	G23	39	6.636540e+00
58	B26	51	6.584975e+00
59	B34	56	7.510857e+00
60	B28	49	6.935111e+00
61	G20	50	6.491809e+00
62	G22	42	6.729883e+00
63	B23	44	5.730244e+00
64	G29	70	5.741106e+00
65	G36	47	6.403355e+00
66	B32	65	7.704819e+00
67	G07	54	6.330155e+00
68	G35	41	6.923620e+00
69	G24	32	6.608996e+00
70	G16	50	5.404506e+00
71	B33	54	5.489320e+00
72	G27	42	7.783998e+00
73	B29	60	5.434209e+00
74	B13	57	5.606628e+00
75	B24	48	8.180340e+00
76	B25	43	6.198369e+00
77	B37	34	5.571338e+00
78	B20	41	7.123600e+00
79	G17	50	6.703958e+00
80	B09	55	6.403843e+00
81	G39	28	6.982514e+00
82	B36	50	7.003161e+00
83	B15	53	5.433799e+00
84	G09	52	6.102720e+00
85	G25	44	6.278944e+00
86	B16	23	5.435518e+00
87	B40	60	5.697786e+00
88	G37	62	5.808692e+00
89	G29	67	5.388621e+00
90	B25	49	5.876223e+00
91	B09	58	7.523321e+00
92	B23	65	5.457333e+00
93	B34	63	5.398939e+00
94	G28	39	5.797262e+00
95	G21	41	6.590288e+00
96	B26	44	5.464902e+00
97	G11	37	5.748245e+00
98	B37	35	5.604161e+00
99	G39	29	5.504529e+00
100	G35	51	5.483893e+00
101	B24	41	6.988663e+00
102	G20	59	5.444128e+00
103	B13	53	5.571445e+00
104	G23	37	5.868708e+00
105	G07	50	5.527578e+00
106	G08	32	5.939619e+00
107	G22	38	7.772203e+00
108	G16	48	5.388991e+00
109	B40	45	6.184274e+00
110	B16	41	7.047689e+00
111	G31	41	5.432263e+00
112	G09	57	5.408949e+00
113	B33	71	5.674578e+00
114	G17	61	5.463065e+00
115	G27	37	5.570546e+00
116	B20	16	7.871279e+00
117	G01	39	5.593379e+00
118	B28	40	6.836740e+00
119	B29	45	5.508968e+00
120	B14	48	7.436508e+00
121	G15	48	7.667468e+00
122	G25	43	6.818028e+00
123	G24	23	5.513335e+00
124	B15	32	5.489009e+00
125	B36	42	5.644425e+00
126	G05	42	5.918438e+00
127	B32	30	5.463283e+00
128	B21	39	5.416909e+00
129	B35	26	5.398958e+00
130	G36	30	5.388693e+00
131	G37	28	5.442404e+00
132	B41	36	6.078430e+00
133	B24	23	7.772250e+00
134	B15	49	5.405404e+00
135	G08	47	5.769839e+00
136	G05	50	5.954560e+00
137	B16	32	5.372768e+00
138	B26	32	5.453312e+00
139	B14	60	5.483327e+00
140	B28	31	5.864645e+00
141	B20	30	6.756895e+00
142	G22	29	6.162521e+00
143	G35	53	6.570075e+00
144	G23	26	6.369187e+00
145	B23	31	6.088734e+00
146	B21	45	6.543591e+00
147	B40	42	6.179763e+00
148	G15	53	5.459105e+00
149	B09	44	5.501006e+00
150	G37	32	5.414140e+00
151	B41	18	5.404152e+00
152	G09	52	5.420115e+00
153	G36	30	5.385300e+00
154	G01	36	5.468275e+00
155	G27	27	6.287272e+00
156	B37	31	6.723888e+00
157	G31	28	5.477432e+00
158	B25	23	5.433794e+00
159	B36	40	5.649238e+00
160	B34	38	5.851291e+00
161	G25	46	5.812820e+00
162	G28	37	6.644824e+00
163	G16	35	5.522932e+00
164	B29	56	7.063865e+00
165	G17	43	5.456105e+00
166	G29	74	5.444802e+00
167	G11	33	5.946256e+00
168	B13	39	5.601592e+00
169	B32	61	5.610155e+00
170	G20	45	5.743118e+00
171	G07	49	5.369350e+00
172	G24	30	5.444110e+00
173	G21	40	5.418091e+00
174	G39	34	5.409343e+00
175	B33	28	5.362707e+00
176	B35	47	5.493442e+00
