Trial	Identity	Answer	ReactionTime[s]	
1	B14	66	9.484063e+00
2	G35	53	9.746381e+00
3	G20	35	5.837613e+00
4	B33	43	5.679604e+00
5	G31	41	5.665760e+00
6	B21	40	5.901426e+00
7	B09	49	5.838149e+00
8	G37	46	9.220089e+00
9	G25	32	7.428122e+00
10	B32	73	6.354156e+00
11	B13	26	7.764736e+00
12	B28	48	1.096102e+01
13	G05	51	6.144632e+00
14	G23	33	6.986717e+00
15	G29	60	5.864197e+00
16	B41	17	5.826654e+00
17	B40	63	6.000593e+00
18	G36	51	5.990356e+00
19	B26	40	6.296313e+00
20	G17	45	7.056497e+00
21	G11	29	7.370123e+00
22	B25	47	9.720796e+00
23	G28	41	5.822490e+00
24	G22	23	8.659492e+00
25	G15	44	5.628892e+00
26	B37	22	5.838026e+00
27	G27	16	5.938500e+00
28	B16	52	6.446382e+00
29	B35	63	6.018218e+00
30	B36	53	5.763291e+00
31	G39	37	5.523323e+00
32	B29	34	6.529130e+00
33	B34	58	9.309163e+00
34	G08	56	5.580226e+00
35	B24	54	6.282723e+00
36	G07	57	6.090455e+00
37	G01	44	5.577637e+00
38	G09	60	7.201130e+00
39	G21	55	5.798167e+00
40	B23	58	6.284278e+00
41	B15	66	5.693031e+00
42	B20	47	6.692741e+00
43	G16	43	5.819912e+00
44	G24	25	6.259921e+00
45	B14	70	5.714843e+00
46	B21	43	7.086282e+00
47	G15	49	5.509355e+00
48	G31	28	5.749525e+00
49	G11	24	5.649518e+00
50	G05	35	5.783567e+00
51	G28	47	7.029814e+00
52	B41	27	5.622255e+00
53	B35	66	5.546640e+00
54	G21	26	5.779109e+00
55	G01	40	7.573123e+00
56	G08	45	5.574432e+00
57	G23	12	6.144168e+00
58	B26	34	5.953732e+00
59	B34	67	8.086446e+00
60	B28	48	6.484321e+00
61	G20	32	5.641452e+00
62	G22	28	7.360192e+00
63	B23	85	6.315750e+00
64	G29	65	6.443553e+00
65	G36	34	5.656232e+00
66	B32	47	7.025261e+00
67	G07	41	5.580305e+00
68	G35	44	5.677363e+00
69	G24	19	9.131984e+00
70	G16	49	5.812716e+00
71	B33	37	6.019381e+00
72	G27	29	7.278636e+00
73	B29	47	5.584336e+00
74	B13	47	5.956857e+00
75	B24	52	5.580815e+00
76	B25	42	6.221160e+00
77	B37	27	5.514029e+00
78	B20	46	7.272698e+00
79	G17	40	5.592284e+00
80	B09	44	6.750585e+00
81	G39	26	6.918314e+00
82	B36	50	5.764998e+00
83	B15	54	5.635179e+00
84	G09	39	6.175980e+00
85	G25	46	6.899552e+00
86	B16	35	5.603474e+00
87	B40	51	5.602676e+00
88	G37	23	6.005219e+00
89	G29	71	6.449572e+00
90	B25	27	7.970043e+00
91	B09	46	8.141560e+00
92	B23	49	5.600431e+00
93	B34	53	5.558836e+00
94	G28	36	5.564656e+00
95	G21	47	6.152634e+00
96	B26	45	5.644735e+00
97	G11	40	5.665471e+00
98	B37	20	5.637747e+00
99	G39	45	5.834662e+00
100	G35	59	5.583608e+00
101	B24	41	5.606806e+00
102	G20	44	5.459756e+00
103	B13	45	5.646934e+00
104	G23	18	6.067951e+00
105	G07	47	5.936524e+00
106	G08	30	5.848822e+00
107	G22	25	6.012722e+00
108	G16	52	5.591874e+00
109	B40	44	6.417224e+00
110	B16	32	5.752609e+00
111	G31	37	5.575572e+00
112	G09	53	5.703868e+00
113	B33	35	5.675071e+00
114	G17	42	5.563178e+00
115	G27	31	5.817677e+00
116	B20	52	7.472735e+00
117	G01	49	6.124774e+00
118	B28	47	5.633065e+00
119	B29	38	5.791195e+00
120	B14	77	6.984236e+00
121	G15	61	5.666431e+00
122	G25	36	6.126014e+00
123	G24	17	5.806946e+00
124	B15	55	5.635971e+00
125	B36	43	5.626153e+00
126	G05	50	5.629130e+00
127	B32	52	5.524438e+00
128	B21	55	5.642517e+00
129	B35	66	5.538709e+00
130	G36	46	5.831413e+00
131	G37	29	5.741136e+00
132	B41	30	7.131516e+00
133	B24	29	5.772714e+00
134	B15	65	5.690823e+00
135	G08	35	6.036116e+00
136	G05	60	6.123484e+00
137	B16	37	5.608317e+00
138	B26	65	5.699717e+00
139	B14	58	5.741346e+00
140	B28	38	5.614225e+00
141	B20	52	5.716775e+00
142	G22	25	5.756488e+00
143	G35	58	5.890939e+00
144	G23	23	5.656746e+00
145	B23	37	5.682848e+00
146	B21	46	5.655617e+00
147	B40	52	5.736992e+00
148	G15	50	5.846888e+00
149	B09	59	5.668329e+00
150	G37	20	7.890673e+00
151	B41	45	5.729864e+00
152	G09	43	5.776346e+00
153	G36	35	5.694106e+00
154	G01	34	5.661170e+00
155	G27	34	5.604784e+00
156	B37	38	5.683404e+00
157	G31	29	5.816900e+00
158	B25	31	5.854642e+00
159	B36	51	5.669321e+00
160	B34	43	5.681641e+00
161	G25	41	5.518448e+00
162	G28	38	5.597032e+00
163	G16	42	5.639926e+00
164	B29	62	5.569637e+00
165	G17	36	5.553699e+00
166	G29	74	6.144966e+00
167	G11	43	5.688374e+00
168	B13	51	5.693099e+00
169	B32	64	5.626280e+00
170	G20	40	5.656896e+00
171	G07	43	5.600419e+00
172	G24	27	5.659165e+00
173	G21	26	5.669377e+00
174	G39	32	5.639998e+00
175	B33	35	5.739266e+00
176	B35	61	5.859139e+00
