Trial	Identity	Answer	ReactionTime[s]	
1	B14	64	1.304505e+01
2	G35	52	1.085384e+01
3	G20	56	7.408451e+00
4	B33	51	8.323312e+00
5	G31	51	9.926354e+00
6	B21	63	9.817385e+00
7	B09	49	1.084324e+01
8	G37	34	1.026694e+01
9	G25	52	1.030163e+01
10	B32	61	1.051772e+01
11	B13	64	8.228074e+00
12	B28	41	5.722948e+00
13	G05	54	1.023636e+01
14	G23	17	7.797140e+00
15	G29	75	7.005422e+00
16	B41	28	7.075047e+00
17	B40	52	7.670123e+00
18	G36	50	7.645820e+00
19	B26	53	7.700055e+00
20	G17	32	8.092045e+00
21	G11	27	7.075212e+00
22	B25	38	8.313682e+00
23	G28	25	9.088420e+00
24	G22	21	9.033542e+00
25	G15	43	8.877480e+00
26	B37	40	7.045058e+00
27	G27	30	5.802927e+00
28	B16	29	6.782465e+00
29	B35	56	9.457326e+00
30	B36	51	1.007509e+01
31	G39	37	8.326378e+00
32	B29	49	1.024950e+01
33	B34	46	9.772290e+00
34	G08	35	1.043838e+01
35	B24	34	9.633406e+00
36	G07	54	1.011800e+01
37	G01	36	8.973881e+00
38	G09	53	9.606768e+00
39	G21	36	6.833549e+00
40	B23	37	9.795155e+00
41	B15	53	8.229002e+00
42	B20	34	8.128310e+00
43	G16	43	7.866213e+00
44	G24	13	1.033094e+01
45	B14	54	8.629547e+00
46	B21	64	1.170633e+01
47	G15	40	7.397476e+00
48	G31	36	5.619759e+00
49	G11	29	7.604907e+00
50	G05	50	8.090806e+00
51	G28	34	7.339455e+00
52	B41	20	6.445708e+00
53	B35	44	5.730132e+00
54	G21	49	8.340653e+00
55	G01	36	7.488983e+00
56	G08	23	7.666137e+00
57	G23	29	9.052698e+00
58	B26	50	6.470246e+00
59	B34	54	6.639911e+00
60	B28	43	6.086445e+00
61	G20	58	7.725615e+00
62	G22	29	1.473107e+01
63	B23	46	6.696713e+00
64	G29	68	6.337010e+00
65	G36	54	6.057338e+00
66	B32	44	8.504894e+00
67	G07	49	5.981771e+00
68	G35	56	6.439238e+00
69	G24	25	9.591698e+00
70	G16	54	7.644882e+00
71	B33	40	8.073380e+00
72	G27	29	6.975791e+00
73	B29	55	6.479334e+00
74	B13	43	8.795802e+00
75	B24	41	8.022533e+00
76	B25	31	7.921784e+00
77	B37	37	6.597518e+00
78	B20	42	6.523987e+00
79	G17	44	8.883049e+00
80	B09	54	7.167723e+00
81	G39	23	6.965341e+00
82	B36	41	8.675654e+00
83	B15	49	7.469900e+00
84	G09	41	1.150271e+01
85	G25	42	9.308464e+00
86	B16	41	6.569200e+00
87	B40	59	8.133179e+00
88	G37	41	1.018605e+01
89	G29	73	8.832934e+00
90	B25	39	8.559636e+00
91	B09	47	7.299300e+00
92	B23	57	6.927585e+00
93	B34	41	7.530082e+00
94	G28	54	6.501163e+00
95	G21	44	7.406149e+00
96	B26	29	6.235056e+00
97	G11	29	8.760441e+00
98	B37	26	5.799225e+00
99	G39	33	6.062176e+00
100	G35	50	6.327655e+00
101	B24	49	8.462417e+00
102	G20	37	8.266118e+00
103	B13	63	7.173553e+00
104	G23	33	9.727443e+00
105	G07	53	7.371256e+00
106	G08	40	5.844095e+00
107	G22	28	9.289101e+00
108	G16	56	9.041293e+00
109	B40	57	6.912890e+00
110	B16	46	8.091386e+00
111	G31	48	5.684914e+00
112	G09	57	5.852465e+00
113	B33	43	8.499631e+00
114	G17	30	9.923529e+00
115	G27	35	7.195877e+00
116	B20	43	8.825194e+00
117	G01	46	6.927940e+00
118	B28	36	6.240537e+00
119	B29	52	8.798483e+00
120	B14	45	8.452939e+00
121	G15	50	8.812178e+00
122	G25	51	1.038331e+01
123	G24	28	7.923862e+00
124	B15	44	8.525996e+00
125	B36	44	7.240521e+00
126	G05	51	1.060671e+01
127	B32	66	9.346189e+00
128	B21	56	1.099008e+01
129	B35	72	8.958112e+00
130	G36	47	6.556518e+00
131	G37	37	6.706128e+00
132	B41	29	9.651686e+00
133	B24	41	8.790612e+00
134	B15	56	9.224724e+00
135	G08	46	7.957552e+00
136	G05	47	8.102964e+00
137	B16	47	6.248365e+00
138	B26	46	6.499392e+00
139	B14	54	5.953116e+00
140	B28	28	6.070274e+00
141	B20	38	7.081002e+00
142	G22	28	6.472224e+00
143	G35	46	7.501415e+00
144	G23	33	6.924460e+00
145	B23	49	6.701568e+00
146	B21	50	7.090291e+00
147	B40	64	6.520660e+00
148	G15	56	6.613954e+00
149	B09	43	8.648779e+00
150	G37	38	5.833090e+00
151	B41	20	8.450899e+00
152	G09	49	8.046558e+00
153	G36	41	6.052222e+00
154	G01	33	1.111156e+01
155	G27	37	1.261602e+01
156	B37	20	9.487462e+00
157	G31	33	1.072840e+01
158	B25	33	9.524055e+00
159	B36	40	8.786555e+00
160	B34	51	5.871288e+00
161	G25	38	9.591221e+00
162	G28	32	6.117608e+00
163	G16	51	5.923772e+00
164	B29	56	5.822003e+00
165	G17	59	8.805113e+00
166	G29	71	7.888677e+00
167	G11	28	7.340314e+00
168	B13	51	6.913769e+00
169	B32	60	6.374464e+00
170	G20	48	8.119262e+00
171	G07	55	7.464714e+00
172	G24	26	1.056224e+01
173	G21	41	5.875211e+00
174	G39	31	7.015163e+00
175	B33	45	5.714999e+00
176	B35	66	9.067222e+00
