Trial	Identity	Answer	ReactionTime[s]	
1	B14	49	1.112277e+01
2	G35	40	8.945711e+00
3	G20	51	6.358322e+00
4	B33	29	7.735973e+00
5	G31	31	6.440032e+00
6	B21	59	8.159506e+00
7	B09	30	8.907225e+00
8	G37	23	1.008165e+01
9	G25	46	6.176579e+00
10	B32	32	7.439479e+00
11	B13	59	6.069981e+00
12	B28	44	8.311232e+00
13	G05	18	9.661671e+00
14	G23	12	6.408117e+00
15	G29	70	7.804649e+00
16	B41	13	6.763317e+00
17	B40	36	8.280578e+00
18	G36	44	6.963451e+00
19	B26	35	7.558370e+00
20	G17	34	1.057946e+01
21	G11	35	7.478591e+00
22	B25	30	6.740171e+00
23	G28	20	7.462168e+00
24	G22	24	6.820359e+00
25	G15	52	7.124024e+00
26	B37	40	1.226231e+01
27	G27	18	8.683555e+00
28	B16	18	8.058503e+00
29	B35	56	7.310944e+00
30	B36	34	1.168974e+01
31	G39	45	6.756449e+00
32	B29	57	8.362906e+00
33	B34	49	6.295891e+00
34	G08	37	6.547202e+00
35	B24	47	8.453940e+00
36	G07	51	6.677105e+00
37	G01	28	6.629068e+00
38	G09	34	6.398346e+00
39	G21	27	7.258013e+00
40	B23	46	6.332543e+00
41	B15	49	7.803738e+00
42	B20	61	7.494293e+00
43	G16	56	7.261624e+00
44	G24	17	1.062371e+01
45	B14	35	6.412092e+00
46	B21	56	6.297586e+00
47	G15	51	5.819859e+00
48	G31	46	5.780959e+00
49	G11	44	5.553316e+00
50	G05	45	5.599000e+00
51	G28	31	6.366727e+00
52	B41	33	6.730593e+00
53	B35	30	7.275615e+00
54	G21	36	6.214874e+00
55	G01	35	6.400158e+00
56	G08	35	7.239287e+00
57	G23	15	7.327267e+00
58	B26	13	6.467909e+00
59	B34	63	9.582989e+00
60	B28	43	6.907302e+00
61	G20	47	9.206266e+00
62	G22	26	6.693040e+00
63	B23	63	7.028584e+00
64	G29	72	8.070876e+00
65	G36	70	6.516427e+00
66	B32	33	1.167490e+01
67	G07	26	6.144272e+00
68	G35	48	7.411106e+00
69	G24	23	7.981615e+00
70	G16	56	6.376221e+00
71	B33	53	7.424626e+00
72	G27	9	1.217439e+01
73	B29	63	6.345724e+00
74	B13	40	6.521775e+00
75	B24	53	9.632667e+00
76	B25	57	8.304462e+00
77	B37	60	7.704706e+00
78	B20	44	7.423343e+00
79	G17	56	9.369946e+00
80	B09	35	7.252679e+00
81	G39	24	1.156631e+01
82	B36	37	1.025522e+01
83	B15	65	9.234284e+00
84	G09	45	8.585458e+00
85	G25	48	9.912826e+00
86	B16	46	6.662085e+00
87	B40	41	8.698792e+00
88	G37	29	7.155517e+00
89	G29	52	1.167198e+01
90	B25	32	6.903884e+00
91	B09	44	6.417011e+00
92	B23	33	6.757428e+00
93	B34	59	6.736573e+00
94	G28	27	8.187176e+00
95	G21	55	6.397773e+00
96	B26	30	7.644815e+00
97	G11	39	7.899197e+00
98	B37	40	7.193871e+00
99	G39	59	5.959782e+00
100	G35	45	9.699051e+00
101	B24	35	6.398682e+00
102	G20	43	6.356855e+00
103	B13	50	6.345138e+00
104	G23	36	6.067742e+00
105	G07	49	7.639381e+00
106	G08	30	6.413037e+00
107	G22	19	6.255410e+00
108	G16	63	6.365860e+00
109	B40	61	6.701027e+00
110	B16	18	6.630334e+00
111	G31	52	6.830703e+00
112	G09	75	7.756811e+00
113	B33	41	6.034703e+00
114	G17	42	6.402561e+00
115	G27	28	7.107788e+00
116	B20	50	5.933552e+00
117	G01	45	8.020630e+00
118	B28	38	6.463066e+00
119	B29	48	7.072590e+00
120	B14	52	6.835717e+00
121	G15	60	6.193830e+00
122	G25	55	7.000985e+00
123	G24	35	7.285740e+00
124	B15	60	6.323190e+00
125	B36	40	5.897396e+00
126	G05	32	9.783054e+00
127	B32	62	8.629224e+00
128	B21	45	7.668553e+00
129	B35	59	6.869819e+00
130	G36	51	6.041353e+00
131	G37	7	1.130473e+01
132	B41	54	7.141724e+00
133	B24	49	7.136580e+00
134	B15	52	6.550885e+00
135	G08	30	6.457424e+00
136	G05	45	5.962736e+00
137	B16	32	6.281300e+00
138	B26	35	6.718849e+00
139	B14	77	9.342302e+00
140	B28	47	8.320089e+00
141	B20	61	9.173589e+00
142	G22	34	1.011263e+01
143	G35	67	9.396552e+00
144	G23	41	6.733414e+00
145	B23	40	8.238829e+00
146	B21	66	6.419856e+00
147	B40	60	6.495108e+00
148	G15	74	6.805822e+00
149	B09	51	6.468470e+00
150	G37	42	8.851510e+00
151	B41	45	7.333434e+00
152	G09	70	8.294357e+00
153	G36	43	6.526988e+00
154	G01	34	6.569520e+00
155	G27	28	7.569155e+00
156	B37	25	7.914961e+00
157	G31	45	6.741762e+00
158	B25	35	6.260865e+00
159	B36	54	8.049603e+00
160	B34	41	6.004219e+00
161	G25	50	6.873512e+00
162	G28	42	9.086850e+00
163	G16	52	6.374171e+00
164	B29	53	6.492162e+00
165	G17	24	7.015290e+00
166	G29	57	6.157398e+00
167	G11	47	5.941357e+00
168	B13	33	5.981224e+00
169	B32	70	7.469434e+00
170	G20	49	7.990167e+00
171	G07	44	6.011761e+00
172	G24	15	6.393876e+00
173	G21	59	7.533603e+00
174	G39	44	7.442073e+00
175	B33	63	6.646601e+00
176	B35	86	6.628244e+00
