Trial	Identity	Answer	ReactionTime[s]	
1	B14	37	1.429645e+01
2	G35	72	1.160157e+01
3	G20	49	1.114581e+01
4	B33	31	9.585765e+00
5	G31	29	1.061887e+01
6	B21	60	1.160869e+01
7	B09	56	9.499319e+00
8	G37	23	1.258809e+01
9	G25	49	8.592208e+00
10	B32	73	1.014137e+01
11	B13	35	1.088034e+01
12	B28	45	8.814823e+00
13	G05	49	9.162924e+00
14	G23	25	1.184238e+01
15	G29	49	9.531187e+00
16	B41	56	8.097319e+00
17	B40	63	9.797950e+00
18	G36	54	9.810845e+00
19	B26	52	7.755453e+00
20	G17	41	1.126760e+01
21	G11	41	1.249742e+01
22	B25	47	7.852593e+00
23	G28	25	1.050206e+01
24	G22	52	6.695916e+00
25	G15	62	8.498662e+00
26	B37	41	7.537399e+00
27	G27	54	9.581808e+00
28	B16	45	7.648374e+00
29	B35	70	1.297545e+01
30	B36	75	8.965192e+00
31	G39	40	8.819586e+00
32	B29	64	1.114872e+01
33	B34	63	8.884232e+00
34	G08	65	7.915750e+00
35	B24	59	9.551128e+00
36	G07	70	1.098660e+01
37	G01	55	1.068877e+01
38	G09	65	9.402506e+00
39	G21	44	1.075502e+01
40	B23	59	8.343625e+00
41	B15	64	8.539589e+00
42	B20	50	1.155090e+01
43	G16	81	1.071040e+01
44	G24	25	1.119568e+01
45	B14	57	9.302195e+00
46	B21	66	8.762901e+00
47	G15	70	6.298719e+00
48	G31	41	8.579228e+00
49	G11	35	9.432027e+00
50	G05	45	1.025590e+01
51	G28	33	8.337111e+00
52	B41	40	5.668416e+00
53	B35	66	7.338806e+00
54	G21	52	8.055387e+00
55	G01	43	1.000817e+01
56	G08	65	8.663000e+00
57	G23	27	1.082914e+01
58	B26	66	6.563127e+00
59	B34	71	7.743857e+00
60	B28	52	6.180122e+00
61	G20	64	5.602782e+00
62	G22	65	5.903034e+00
63	B23	48	6.410130e+00
64	G29	44	7.948741e+00
65	G36	59	8.632225e+00
66	B32	53	7.690637e+00
67	G07	50	6.179741e+00
68	G35	53	6.676756e+00
69	G24	36	9.073521e+00
70	G16	69	6.313023e+00
71	B33	45	8.530469e+00
72	G27	47	5.843968e+00
73	B29	65	8.617444e+00
74	B13	72	8.045720e+00
75	B24	72	9.482851e+00
76	B25	52	8.833600e+00
77	B37	46	6.819402e+00
78	B20	45	6.699602e+00
79	G17	42	1.075812e+01
80	B09	61	6.805975e+00
81	G39	23	5.811201e+00
82	B36	55	6.394060e+00
83	B15	71	8.653760e+00
84	G09	64	1.000059e+01
85	G25	67	1.045687e+01
86	B16	49	7.184998e+00
87	B40	92	9.549887e+00
88	G37	28	9.099136e+00
89	G29	44	6.652616e+00
90	B25	32	9.371079e+00
91	B09	68	5.792702e+00
92	B23	72	5.785325e+00
93	B34	71	7.893512e+00
94	G28	37	1.122789e+01
95	G21	57	1.335227e+01
96	B26	56	5.490132e+00
97	G11	40	6.692716e+00
98	B37	53	9.186771e+00
99	G39	25	6.870479e+00
100	G35	48	7.508239e+00
101	B24	58	8.438925e+00
102	G20	70	6.491807e+00
103	B13	53	5.662414e+00
104	G23	32	9.083140e+00
105	G07	62	8.712812e+00
106	G08	54	9.052267e+00
107	G22	36	6.302239e+00
108	G16	93	5.799613e+00
109	B40	79	6.043555e+00
110	B16	63	7.081292e+00
111	G31	60	5.748353e+00
112	G09	76	5.885693e+00
113	B33	66	5.849891e+00
114	G17	49	6.234427e+00
115	G27	46	8.604059e+00
116	B20	37	8.270589e+00
117	G01	48	7.870572e+00
118	B28	54	7.837705e+00
119	B29	67	7.050042e+00
120	B14	86	1.104332e+01
121	G15	75	7.955682e+00
122	G25	59	8.427110e+00
123	G24	35	1.197270e+01
124	B15	71	6.637616e+00
125	B36	62	6.576483e+00
126	G05	49	7.734265e+00
127	B32	75	5.993008e+00
128	B21	59	9.875860e+00
129	B35	67	5.767718e+00
130	G36	71	7.142350e+00
131	G37	44	6.034365e+00
132	B41	82	8.622514e+00
133	B24	52	6.299102e+00
134	B15	87	6.140603e+00
135	G08	47	6.931103e+00
136	G05	51	7.854093e+00
137	B16	53	6.603535e+00
138	B26	76	5.708781e+00
139	B14	75	5.894862e+00
140	B28	56	6.780066e+00
141	B20	59	9.885717e+00
142	G22	66	6.381341e+00
143	G35	62	5.772105e+00
144	G23	38	5.968101e+00
145	B23	37	6.547665e+00
146	B21	58	9.376141e+00
147	B40	71	6.561600e+00
148	G15	80	5.568293e+00
149	B09	64	6.117264e+00
150	G37	42	6.472669e+00
151	B41	68	6.295230e+00
152	G09	78	7.080239e+00
153	G36	62	7.491837e+00
154	G01	52	9.350186e+00
155	G27	63	7.799048e+00
156	B37	35	5.898107e+00
157	G31	43	7.430929e+00
158	B25	43	6.883989e+00
159	B36	58	7.252216e+00
160	B34	60	6.313950e+00
161	G25	61	7.995422e+00
162	G28	49	6.109045e+00
163	G16	78	5.905260e+00
164	B29	79	5.924381e+00
165	G17	58	8.537155e+00
166	G29	41	5.625819e+00
167	G11	63	6.078881e+00
168	B13	78	5.911704e+00
169	B32	70	6.228718e+00
170	G20	69	6.559508e+00
171	G07	63	6.269351e+00
172	G24	36	7.814835e+00
173	G21	58	6.652423e+00
174	G39	29	7.537649e+00
175	B33	81	6.197162e+00
176	B35	80	6.016188e+00
