Trial	Identity	Answer	ReactionTime[s]	
1	B14	44	1.039507e+01
2	G35	75	1.096658e+01
3	G20	31	7.475848e+00
4	B33	26	8.601567e+00
5	G31	31	7.671104e+00
6	B21	49	9.840186e+00
7	B09	40	7.754425e+00
8	G37	23	8.737803e+00
9	G25	45	9.163063e+00
10	B32	73	7.495706e+00
11	B13	47	1.075433e+01
12	B28	30	8.645880e+00
13	G05	45	6.894290e+00
14	G23	33	9.671219e+00
15	G29	37	6.203802e+00
16	B41	42	8.982847e+00
17	B40	49	8.638227e+00
18	G36	59	9.411068e+00
19	B26	54	7.425714e+00
20	G17	21	9.061670e+00
21	G11	33	5.781440e+00
22	B25	31	9.265419e+00
23	G28	13	9.408461e+00
24	G22	26	7.648475e+00
25	G15	62	6.640474e+00
26	B37	22	5.879746e+00
27	G27	35	8.515934e+00
28	B16	18	6.156746e+00
29	B35	60	6.522823e+00
30	B36	34	6.558715e+00
31	G39	38	7.010515e+00
32	B29	45	6.086287e+00
33	B34	49	7.961005e+00
34	G08	46	5.723626e+00
35	B24	46	8.693868e+00
36	G07	47	1.164606e+01
37	G01	32	5.878670e+00
38	G09	64	7.787726e+00
39	G21	38	5.913838e+00
40	B23	43	6.145977e+00
41	B15	55	5.973140e+00
42	B20	38	6.375197e+00
43	G16	41	7.783230e+00
44	G24	17	8.695688e+00
45	B14	44	8.462482e+00
46	B21	41	6.099405e+00
47	G15	46	1.092515e+01
48	G31	31	6.363656e+00
49	G11	34	6.451171e+00
50	G05	22	8.226453e+00
51	G28	10	8.045245e+00
52	B41	16	7.388420e+00
53	B35	47	9.533295e+00
54	G21	24	1.181859e+01
55	G01	34	7.140319e+00
56	G08	28	9.204679e+00
57	G23	20	1.167387e+01
58	B26	28	7.156536e+00
59	B34	42	1.141389e+01
60	B28	8	8.344100e+00
61	G20	53	9.852105e+00
62	G22	25	6.224294e+00
63	B23	30	9.650522e+00
64	G29	81	8.893130e+00
65	G36	27	6.149540e+00
66	B32	48	1.065373e+01
67	G07	43	8.201009e+00
68	G35	43	5.895091e+00
69	G24	16	6.632349e+00
70	G16	28	9.226903e+00
71	B33	33	7.203940e+00
72	G27	18	8.490117e+00
73	B29	36	9.555756e+00
74	B13	34	6.561297e+00
75	B24	22	9.449690e+00
76	B25	17	1.251611e+01
77	B37	43	1.001873e+01
78	B20	23	9.589091e+00
79	G17	25	6.574905e+00
80	B09	34	9.835034e+00
81	G39	23	9.313942e+00
82	B36	41	9.303149e+00
83	B15	25	6.811888e+00
84	G09	20	9.684779e+00
85	G25	23	1.025955e+01
86	B16	22	1.129937e+01
87	B40	24	7.132232e+00
88	G37	40	7.565843e+00
89	G29	78	9.555022e+00
90	B25	27	8.601538e+00
91	B09	33	5.747169e+00
92	B23	49	6.412293e+00
93	B34	15	6.357305e+00
94	G28	9	7.602996e+00
95	G21	30	9.802931e+00
96	B26	27	6.917508e+00
97	G11	26	6.957593e+00
98	B37	17	5.628157e+00
99	G39	8	9.287351e+00
100	G35	33	7.601151e+00
101	B24	18	9.188292e+00
102	G20	47	1.197166e+01
103	B13	37	9.993840e+00
104	G23	26	1.290843e+01
105	G07	27	9.454694e+00
106	G08	29	9.488330e+00
107	G22	28	9.538127e+00
108	G16	43	9.787659e+00
109	B40	35	9.914333e+00
110	B16	13	7.606098e+00
111	G31	20	8.228109e+00
112	G09	48	8.967078e+00
113	B33	28	6.054248e+00
114	G17	43	7.719889e+00
115	G27	21	6.048127e+00
116	B20	31	8.826109e+00
117	G01	20	8.321829e+00
118	B28	27	5.663719e+00
119	B29	28	7.731306e+00
120	B14	34	6.155842e+00
121	G15	57	1.216769e+01
122	G25	18	1.160429e+01
123	G24	14	7.858232e+00
124	B15	49	7.714691e+00
125	B36	44	6.184350e+00
126	G05	45	7.742306e+00
127	B32	46	9.014528e+00
128	B21	31	1.105418e+01
129	B35	32	7.138698e+00
130	G36	24	8.826458e+00
131	G37	26	9.574360e+00
132	B41	18	9.186369e+00
133	B24	25	9.597434e+00
134	B15	28	5.708106e+00
135	G08	37	8.691855e+00
136	G05	37	1.252875e+01
137	B16	20	8.969371e+00
138	B26	47	9.122743e+00
139	B14	48	7.714598e+00
140	B28	27	6.693918e+00
141	B20	41	8.469955e+00
142	G22	34	1.135877e+01
143	G35	47	1.197209e+01
144	G23	21	1.000728e+01
145	B23	41	1.142485e+01
146	B21	26	6.324063e+00
147	B40	32	1.460245e+01
148	G15	48	7.504605e+00
149	B09	43	1.340491e+01
150	G37	38	9.206016e+00
151	B41	32	7.538738e+00
152	G09	51	8.667600e+00
153	G36	38	6.129025e+00
154	G01	56	1.095958e+01
155	G27	25	1.684833e+01
156	B37	41	8.261161e+00
157	G31	33	1.135179e+01
158	B25	21	7.295137e+00
159	B36	61	1.138501e+01
160	B34	43	8.310020e+00
161	G25	37	1.668166e+01
162	G28	43	7.121845e+00
163	G16	73	7.184728e+00
164	B29	54	9.058548e+00
165	G17	27	8.018555e+00
166	G29	66	1.166949e+01
167	G11	42	1.051853e+01
168	B13	49	8.457117e+00
169	B32	30	8.369756e+00
170	G20	47	6.276204e+00
171	G07	42	1.215403e+01
172	G24	21	6.230779e+00
173	G21	35	7.264688e+00
174	G39	36	6.707610e+00
175	B33	34	1.021153e+01
176	B35	57	1.017780e+01
