Trial	Identity	Answer	ReactionTime[s]	
1	B14	41	6.573544e+00
2	G35	48	6.263351e+00
3	G20	41	7.673832e+00
4	B33	19	7.425019e+00
5	G31	22	9.344995e+00
6	B21	45	6.343141e+00
7	B09	28	8.027252e+00
8	G37	17	7.094625e+00
9	G25	23	9.118448e+00
10	B32	43	5.668893e+00
11	B13	47	5.674885e+00
12	B28	40	7.476334e+00
13	G05	24	7.753963e+00
14	G23	30	8.148000e+00
15	G29	74	7.729894e+00
16	B41	13	8.652627e+00
17	B40	49	7.877032e+00
18	G36	41	6.714762e+00
19	B26	36	8.321189e+00
20	G17	34	8.126310e+00
21	G11	45	8.669954e+00
22	B25	47	8.240967e+00
23	G28	36	8.928680e+00
24	G22	17	8.586534e+00
25	G15	58	7.888341e+00
26	B37	27	8.821961e+00
27	G27	17	9.956218e+00
28	B16	28	6.209573e+00
29	B35	54	5.700176e+00
30	B36	56	7.125921e+00
31	G39	17	6.384823e+00
32	B29	35	7.823192e+00
33	B34	63	7.266145e+00
34	G08	28	7.845989e+00
35	B24	47	8.733932e+00
36	G07	45	6.173525e+00
37	G01	40	7.974508e+00
38	G09	52	9.391622e+00
39	G21	49	7.163539e+00
40	B23	59	6.305758e+00
41	B15	66	5.621682e+00
42	B20	48	7.814321e+00
43	G16	60	7.479409e+00
44	G24	26	8.695855e+00
45	B14	46	6.553763e+00
46	B21	56	6.055519e+00
47	G15	54	8.489721e+00
48	G31	45	9.294193e+00
49	G11	33	8.324144e+00
50	G05	49	6.691036e+00
51	G28	32	6.114389e+00
52	B41	41	7.462477e+00
53	B35	64	6.390333e+00
54	G21	48	7.209858e+00
55	G01	47	8.076831e+00
56	G08	56	6.866064e+00
57	G23	39	8.950475e+00
58	B26	45	6.306166e+00
59	B34	53	8.591237e+00
60	B28	49	8.697989e+00
61	G20	43	6.402103e+00
62	G22	32	6.227762e+00
63	B23	52	9.374105e+00
64	G29	71	9.137230e+00
65	G36	31	5.633751e+00
66	B32	45	6.900655e+00
67	G07	49	6.883757e+00
68	G35	45	1.102721e+01
69	G24	25	7.329345e+00
70	G16	59	6.055424e+00
71	B33	58	5.719517e+00
72	G27	39	7.877358e+00
73	B29	51	5.870377e+00
74	B13	45	9.256916e+00
75	B24	39	9.392297e+00
76	B25	33	7.869865e+00
77	B37	36	5.770135e+00
78	B20	49	9.591858e+00
79	G17	42	7.112410e+00
80	B09	52	5.690340e+00
81	G39	35	6.713080e+00
82	B36	55	1.022068e+01
83	B15	62	5.633602e+00
84	G09	58	7.335805e+00
85	G25	39	8.781686e+00
86	B16	43	5.508729e+00
87	B40	52	7.631861e+00
88	G37	43	8.586483e+00
89	G29	71	7.470792e+00
90	B25	43	8.000319e+00
91	B09	45	5.734753e+00
92	B23	52	8.705611e+00
93	B34	54	5.757774e+00
94	G28	35	5.927232e+00
95	G21	25	6.313289e+00
96	B26	36	5.891914e+00
97	G11	35	6.722192e+00
98	B37	30	5.550860e+00
99	G39	33	7.835300e+00
100	G35	42	9.115201e+00
101	B24	45	9.218275e+00
102	G20	52	5.763236e+00
103	B13	57	5.529572e+00
104	G23	26	9.545792e+00
105	G07	46	7.759952e+00
106	G08	49	7.533514e+00
107	G22	43	9.020236e+00
108	G16	68	8.247120e+00
109	B40	54	5.277807e+00
110	B16	34	6.154170e+00
111	G31	42	8.398053e+00
112	G09	64	9.382559e+00
113	B33	56	6.839482e+00
114	G17	47	8.311182e+00
115	G27	46	6.193008e+00
116	B20	52	7.408463e+00
117	G01	38	6.102711e+00
118	B28	42	7.763177e+00
119	B29	54	7.751962e+00
120	B14	43	6.853496e+00
121	G15	52	8.267171e+00
122	G25	40	7.376481e+00
123	G24	28	8.082177e+00
124	B15	58	7.478242e+00
125	B36	36	9.574091e+00
126	G05	44	5.976564e+00
127	B32	53	6.024193e+00
128	B21	68	7.290042e+00
129	B35	47	5.422755e+00
130	G36	39	7.118282e+00
131	G37	30	6.702458e+00
132	B41	34	6.819186e+00
133	B24	49	8.657062e+00
134	B15	74	7.379352e+00
135	G08	48	8.903080e+00
136	G05	39	8.055368e+00
137	B16	50	6.243051e+00
138	B26	35	8.231594e+00
139	B14	47	5.389344e+00
140	B28	48	6.816621e+00
141	B20	41	6.616095e+00
142	G22	38	8.854439e+00
143	G35	41	7.260383e+00
144	G23	28	7.444457e+00
145	B23	51	6.792759e+00
146	B21	46	7.067557e+00
147	B40	49	5.904281e+00
148	G15	41	7.402869e+00
149	B09	48	5.695157e+00
150	G37	24	5.658002e+00
151	B41	34	5.810616e+00
152	G09	61	6.866635e+00
153	G36	39	5.495823e+00
154	G01	40	6.136085e+00
155	G27	38	8.380975e+00
156	B37	35	8.220996e+00
157	G31	29	6.977034e+00
158	B25	47	8.052994e+00
159	B36	55	9.962308e+00
160	B34	47	7.361545e+00
161	G25	41	5.252990e+00
162	G28	41	5.611962e+00
163	G16	49	5.804571e+00
164	B29	51	5.273933e+00
165	G17	37	6.040227e+00
166	G29	59	7.166719e+00
167	G11	30	5.603106e+00
168	B13	62	5.968363e+00
169	B32	78	6.857601e+00
170	G20	42	6.082323e+00
171	G07	48	5.625588e+00
172	G24	25	5.995448e+00
173	G21	22	5.865805e+00
174	G39	41	5.533081e+00
175	B33	39	6.075604e+00
176	B35	57	5.697924e+00
