Trial	Identity	Answer	ReactionTime[s]	
1	B14	47	7.802578e+00
2	G35	36	8.688087e+00
3	G20	43	8.546558e+00
4	B33	34	9.432628e+00
5	G31	31	8.114357e+00
6	B21	45	7.655410e+00
7	B09	22	5.896898e+00
8	G37	24	8.257610e+00
9	G25	34	7.820950e+00
10	B32	53	6.065741e+00
11	B13	43	6.641725e+00
12	B28	47	9.166954e+00
13	G05	45	8.679816e+00
14	G23	31	6.999663e+00
15	G29	68	6.115890e+00
16	B41	50	6.369915e+00
17	B40	72	7.698963e+00
18	G36	28	7.516089e+00
19	B26	66	1.123281e+01
20	G17	38	7.464019e+00
21	G11	39	6.944401e+00
22	B25	48	7.012422e+00
23	G28	28	6.796167e+00
24	G22	29	8.111052e+00
25	G15	60	9.640705e+00
26	B37	23	5.848172e+00
27	G27	35	6.351372e+00
28	B16	46	5.730444e+00
29	B35	50	6.210965e+00
30	B36	49	9.147578e+00
31	G39	27	8.311149e+00
32	B29	40	9.450915e+00
33	B34	52	8.250970e+00
34	G08	36	5.940173e+00
35	B24	48	9.019097e+00
36	G07	49	5.920313e+00
37	G01	49	6.243239e+00
38	G09	49	7.578379e+00
39	G21	59	8.124578e+00
40	B23	77	1.036010e+01
41	B15	54	5.951379e+00
42	B20	55	6.853029e+00
43	G16	61	8.857870e+00
44	G24	18	7.745347e+00
45	B14	56	6.520834e+00
46	B21	50	9.717372e+00
47	G15	51	6.725457e+00
48	G31	35	9.739496e+00
49	G11	31	8.124919e+00
50	G05	54	1.075259e+01
51	G28	37	6.496089e+00
52	B41	49	1.063272e+01
53	B35	73	5.842573e+00
54	G21	50	1.092407e+01
55	G01	36	5.778835e+00
56	G08	21	6.913511e+00
57	G23	24	8.819436e+00
58	B26	42	6.021602e+00
59	B34	50	8.586435e+00
60	B28	43	7.541458e+00
61	G20	60	6.078562e+00
62	G22	25	9.687008e+00
63	B23	77	8.006715e+00
64	G29	59	8.204702e+00
65	G36	58	7.958965e+00
66	B32	64	6.876776e+00
67	G07	57	7.760551e+00
68	G35	64	6.410427e+00
69	G24	33	8.566198e+00
70	G16	48	9.616313e+00
71	B33	29	6.200765e+00
72	G27	62	8.400119e+00
73	B29	44	7.307924e+00
74	B13	48	8.823841e+00
75	B24	49	1.037288e+01
76	B25	55	7.717641e+00
77	B37	49	6.851541e+00
78	B20	49	7.901393e+00
79	G17	35	5.655544e+00
80	B09	67	7.530465e+00
81	G39	43	9.837014e+00
82	B36	38	7.881892e+00
83	B15	39	8.049393e+00
84	G09	46	9.431751e+00
85	G25	47	7.998856e+00
86	B16	49	6.531166e+00
87	B40	66	7.269650e+00
88	G37	27	9.015122e+00
89	G29	57	7.619171e+00
90	B25	40	1.102700e+01
91	B09	60	1.046325e+01
92	B23	68	8.054510e+00
93	B34	40	6.116872e+00
94	G28	50	6.481786e+00
95	G21	46	5.671210e+00
96	B26	50	7.049950e+00
97	G11	37	7.854580e+00
98	B37	50	6.534744e+00
99	G39	54	7.174692e+00
100	G35	65	8.389573e+00
101	B24	51	8.454077e+00
102	G20	78	5.876422e+00
103	B13	51	6.775939e+00
104	G23	39	7.298047e+00
105	G07	52	7.410112e+00
106	G08	41	6.694485e+00
107	G22	39	8.083673e+00
108	G16	58	6.818792e+00
109	B40	76	8.107486e+00
110	B16	29	7.969847e+00
111	G31	51	1.074775e+01
112	G09	55	6.054910e+00
113	B33	23	6.087424e+00
114	G17	49	7.977799e+00
115	G27	44	9.188738e+00
116	B20	39	9.219734e+00
117	G01	36	5.969817e+00
118	B28	52	6.059428e+00
119	B29	57	6.708953e+00
120	B14	68	6.681699e+00
121	G15	60	8.916150e+00
122	G25	43	9.674334e+00
123	G24	30	7.499684e+00
124	B15	76	7.195617e+00
125	B36	22	1.037835e+01
126	G05	34	5.898904e+00
127	B32	67	5.747796e+00
128	B21	53	5.886113e+00
129	B35	53	6.647621e+00
130	G36	34	7.417986e+00
131	G37	39	5.782486e+00
132	B41	52	6.607262e+00
133	B24	54	6.643043e+00
134	B15	52	6.537982e+00
135	G08	19	5.764615e+00
136	G05	49	7.766951e+00
137	B16	56	5.573696e+00
138	B26	36	1.164937e+01
139	B14	37	8.225251e+00
140	B28	38	6.871288e+00
141	B20	47	7.015424e+00
142	G22	54	9.263793e+00
143	G35	63	8.908407e+00
144	G23	49	1.012975e+01
145	B23	41	6.244784e+00
146	B21	56	8.576147e+00
147	B40	68	6.290268e+00
148	G15	59	6.164362e+00
149	B09	46	6.049542e+00
150	G37	28	7.215912e+00
151	B41	57	8.960785e+00
152	G09	73	6.452890e+00
153	G36	35	5.675712e+00
154	G01	52	7.329547e+00
155	G27	70	6.378763e+00
156	B37	37	6.483473e+00
157	G31	27	6.444970e+00
158	B25	41	7.796359e+00
159	B36	26	7.026302e+00
160	B34	57	6.085171e+00
161	G25	31	7.545979e+00
162	G28	44	6.607578e+00
163	G16	58	6.013766e+00
164	B29	56	5.823185e+00
165	G17	43	5.691821e+00
166	G29	70	6.697980e+00
167	G11	21	9.996003e+00
168	B13	55	6.536290e+00
169	B32	75	5.593468e+00
170	G20	65	8.820162e+00
171	G07	65	5.733500e+00
172	G24	26	7.173329e+00
173	G21	48	9.135770e+00
174	G39	63	6.841436e+00
175	B33	31	5.849155e+00
176	B35	68	6.837137e+00
