Trial	Identity	Answer	ReactionTime[s]	
1	B14	49	1.365382e+01
2	G35	52	1.003261e+01
3	G20	39	1.028390e+01
4	B33	40	8.797004e+00
5	G31	39	6.482886e+00
6	B21	44	8.519143e+00
7	B09	43	9.926797e+00
8	G37	42	9.885563e+00
9	G25	44	9.051299e+00
10	B32	52	9.256615e+00
11	B13	20	6.600144e+00
12	B28	20	7.135932e+00
13	G05	25	7.745613e+00
14	G23	10	6.059232e+00
15	G29	73	8.237002e+00
16	B41	4	7.050061e+00
17	B40	59	7.314357e+00
18	G36	30	6.236302e+00
19	B26	47	9.000260e+00
20	G17	31	5.987421e+00
21	G11	13	6.188630e+00
22	B25	31	9.461642e+00
23	G28	35	8.772762e+00
24	G22	22	9.149671e+00
25	G15	42	6.406743e+00
26	B37	23	6.165210e+00
27	G27	38	1.519483e+01
28	B16	45	8.422493e+00
29	B35	57	7.097476e+00
30	B36	45	6.537581e+00
31	G39	27	7.041327e+00
32	B29	55	6.437763e+00
33	B34	45	9.756685e+00
34	G08	42	5.838108e+00
35	B24	35	8.657588e+00
36	G07	42	7.218168e+00
37	G01	37	8.965692e+00
38	G09	36	9.714159e+00
39	G21	31	6.650786e+00
40	B23	55	5.730757e+00
41	B15	56	7.648088e+00
42	B20	65	1.081740e+01
43	G16	55	5.518242e+00
44	G24	27	6.037100e+00
45	B14	54	7.356042e+00
46	B21	43	6.210717e+00
47	G15	54	6.154114e+00
48	G31	38	9.184682e+00
49	G11	29	6.650885e+00
50	G05	43	6.098717e+00
51	G28	56	7.259454e+00
52	B41	29	5.923771e+00
53	B35	52	7.065653e+00
54	G21	20	6.154255e+00
55	G01	41	6.585752e+00
56	G08	31	9.533031e+00
57	G23	20	7.673931e+00
58	B26	46	8.505049e+00
59	B34	43	7.365146e+00
60	B28	51	1.075479e+01
61	G20	60	6.336413e+00
62	G22	16	7.737661e+00
63	B23	33	5.524454e+00
64	G29	49	7.285531e+00
65	G36	22	6.803779e+00
66	B32	59	6.635410e+00
67	G07	45	8.617680e+00
68	G35	49	5.907939e+00
69	G24	16	8.757647e+00
70	G16	51	8.236303e+00
71	B33	41	6.145595e+00
72	G27	36	1.076444e+01
73	B29	63	6.374011e+00
74	B13	45	6.194462e+00
75	B24	69	6.306393e+00
76	B25	25	9.045268e+00
77	B37	18	6.594738e+00
78	B20	49	8.475591e+00
79	G17	38	9.059759e+00
80	B09	49	6.284366e+00
81	G39	20	8.431825e+00
82	B36	41	7.588487e+00
83	B15	72	5.873655e+00
84	G09	43	1.007705e+01
85	G25	40	8.752851e+00
86	B16	65	5.920103e+00
87	B40	60	7.477997e+00
88	G37	34	7.700858e+00
89	G29	69	8.891338e+00
90	B25	18	9.530868e+00
91	B09	66	5.831242e+00
92	B23	31	9.519838e+00
93	B34	27	9.153386e+00
94	G28	28	7.636450e+00
95	G21	35	6.586041e+00
96	B26	57	6.014862e+00
97	G11	32	1.077307e+01
98	B37	23	7.697908e+00
99	G39	30	6.431053e+00
100	G35	59	8.739496e+00
101	B24	33	7.445996e+00
102	G20	57	1.073767e+01
103	B13	38	8.844426e+00
104	G23	28	7.226055e+00
105	G07	50	6.248975e+00
106	G08	32	6.328747e+00
107	G22	29	1.158376e+01
108	G16	63	5.811913e+00
109	B40	33	1.036441e+01
110	B16	47	5.852394e+00
111	G31	38	5.990177e+00
112	G09	50	5.799236e+00
113	B33	32	6.422020e+00
114	G17	19	9.366135e+00
115	G27	29	5.704584e+00
116	B20	41	8.569911e+00
117	G01	39	8.721824e+00
118	B28	53	6.897563e+00
119	B29	40	5.834366e+00
120	B14	63	5.557623e+00
121	G15	62	6.639863e+00
122	G25	49	1.139726e+01
123	G24	41	8.886296e+00
124	B15	49	5.783269e+00
125	B36	43	8.017352e+00
126	G05	49	6.008226e+00
127	B32	48	7.214374e+00
128	B21	48	8.193916e+00
129	B35	54	6.954114e+00
130	G36	39	6.636730e+00
131	G37	20	5.861991e+00
132	B41	16	8.977165e+00
133	B24	31	6.575829e+00
134	B15	74	7.856138e+00
135	G08	27	6.306358e+00
136	G05	37	7.093830e+00
137	B16	61	6.206561e+00
138	B26	58	7.029362e+00
139	B14	43	6.670299e+00
140	B28	38	6.121476e+00
141	B20	47	7.916760e+00
142	G22	27	7.799112e+00
143	G35	55	5.617115e+00
144	G23	19	1.119721e+01
145	B23	49	7.802849e+00
146	B21	38	5.971688e+00
147	B40	58	5.530531e+00
148	G15	55	5.951139e+00
149	B09	49	6.638673e+00
150	G37	22	6.596513e+00
151	B41	16	6.978671e+00
152	G09	56	6.139089e+00
153	G36	22	6.024892e+00
154	G01	26	8.645435e+00
155	G27	25	8.874668e+00
156	B37	33	5.827473e+00
157	G31	30	6.193377e+00
158	B25	28	7.766471e+00
159	B36	39	8.948351e+00
160	B34	34	6.817404e+00
161	G25	45	8.753715e+00
162	G28	54	5.871928e+00
163	G16	56	7.257204e+00
164	B29	49	9.438607e+00
165	G17	27	6.910138e+00
166	G29	59	6.571055e+00
167	G11	31	5.889018e+00
168	B13	71	5.890743e+00
169	B32	77	6.147541e+00
170	G20	57	6.464185e+00
171	G07	48	5.914238e+00
172	G24	25	5.950830e+00
173	G21	36	1.208057e+01
174	G39	26	6.415073e+00
175	B33	41	7.136699e+00
176	B35	57	6.583967e+00
