Trial	Identity	Answer	ReactionTime[s]	
1	B14	28	5.876191e+00
2	G35	40	6.112745e+00
3	G20	48	6.109137e+00
4	B33	17	7.771878e+00
5	G31	27	6.351674e+00
6	B21	63	5.837116e+00
7	B09	39	6.816300e+00
8	G37	48	7.790836e+00
9	G25	58	6.748900e+00
10	B32	71	1.078151e+01
11	B13	38	5.603834e+00
12	B28	32	7.856575e+00
13	G05	61	6.117555e+00
14	G23	34	6.753872e+00
15	G29	73	7.171595e+00
16	B41	44	6.598276e+00
17	B40	56	5.897422e+00
18	G36	57	1.043682e+01
19	B26	67	6.033865e+00
20	G17	35	6.862158e+00
21	G11	34	5.848003e+00
22	B25	57	8.332104e+00
23	G28	26	6.574617e+00
24	G22	47	6.234070e+00
25	G15	51	6.314390e+00
26	B37	25	1.128505e+01
27	G27	60	9.332153e+00
28	B16	28	6.039550e+00
29	B35	65	6.549490e+00
30	B36	66	7.776030e+00
31	G39	43	6.417327e+00
32	B29	56	7.520774e+00
33	B34	65	9.251814e+00
34	G08	59	6.768172e+00
35	B24	51	7.388548e+00
36	G07	48	7.944320e+00
37	G01	42	8.739624e+00
38	G09	61	6.996995e+00
39	G21	43	5.921976e+00
40	B23	44	6.382905e+00
41	B15	84	5.852329e+00
42	B20	52	8.828142e+00
43	G16	89	6.454227e+00
44	G24	44	8.108544e+00
45	B14	86	5.729022e+00
46	B21	78	6.978724e+00
47	G15	67	8.033038e+00
48	G31	51	6.283038e+00
49	G11	50	6.872646e+00
50	G05	51	6.952091e+00
51	G28	33	7.602117e+00
52	B41	45	5.974586e+00
53	B35	84	6.781527e+00
54	G21	46	6.194319e+00
55	G01	51	7.701990e+00
56	G08	46	7.224261e+00
57	G23	30	7.030489e+00
58	B26	74	6.497917e+00
59	B34	65	7.307985e+00
60	B28	44	6.757104e+00
61	G20	64	6.861543e+00
62	G22	37	6.924471e+00
63	B23	27	5.949371e+00
64	G29	63	7.077659e+00
65	G36	59	6.958209e+00
66	B32	63	6.538815e+00
67	G07	61	6.484621e+00
68	G35	49	6.466121e+00
69	G24	50	1.046781e+01
70	G16	93	7.906261e+00
71	B33	82	6.678371e+00
72	G27	75	8.965425e+00
73	B29	88	9.265535e+00
74	B13	74	6.270071e+00
75	B24	69	7.755304e+00
76	B25	70	7.878856e+00
77	B37	58	5.791834e+00
78	B20	63	6.899183e+00
79	G17	47	6.672630e+00
80	B09	59	6.316753e+00
81	G39	19	6.289084e+00
82	B36	39	6.684880e+00
83	B15	92	6.545635e+00
84	G09	76	7.499332e+00
85	G25	60	9.919181e+00
86	B16	44	6.538736e+00
87	B40	70	7.294798e+00
88	G37	38	8.156096e+00
89	G29	61	6.942004e+00
90	B25	78	9.253601e+00
91	B09	63	6.352940e+00
92	B23	49	6.486667e+00
93	B34	40	7.088536e+00
94	G28	44	7.309602e+00
95	G21	48	7.399971e+00
96	B26	74	6.788698e+00
97	G11	52	6.398147e+00
98	B37	47	6.820236e+00
99	G39	50	6.188461e+00
100	G35	47	6.378630e+00
101	B24	61	7.706110e+00
102	G20	76	6.164800e+00
103	B13	58	7.452377e+00
104	G23	63	7.660076e+00
105	G07	81	8.229229e+00
106	G08	64	8.043236e+00
107	G22	59	8.127648e+00
108	G16	100	7.129873e+00
109	B40	89	8.441864e+00
110	B16	51	7.337974e+00
111	G31	56	6.443165e+00
112	G09	85	1.171846e+01
113	B33	54	6.065163e+00
114	G17	65	9.827060e+00
115	G27	59	7.559850e+00
116	B20	55	9.119250e+00
117	G01	65	1.013706e+01
118	B28	60	6.500682e+00
119	B29	50	6.468904e+00
120	B14	74	9.617500e+00
121	G15	63	6.841633e+00
122	G25	67	7.602846e+00
123	G24	55	7.333459e+00
124	B15	92	7.365708e+00
125	B36	59	6.853612e+00
126	G05	61	6.521060e+00
127	B32	80	7.550850e+00
128	B21	75	8.439350e+00
129	B35	69	6.540959e+00
130	G36	60	6.493747e+00
131	G37	33	6.447322e+00
132	B41	47	9.896247e+00
133	B24	60	7.000736e+00
134	B15	91	6.403644e+00
135	G08	49	7.427403e+00
136	G05	79	7.735553e+00
137	B16	61	8.481938e+00
138	B26	65	7.852891e+00
139	B14	80	6.295455e+00
140	B28	69	6.442070e+00
141	B20	57	7.043668e+00
142	G22	51	9.779176e+00
143	G35	53	7.862901e+00
144	G23	44	6.818579e+00
145	B23	61	6.339198e+00
146	B21	73	1.078070e+01
147	B40	84	8.822668e+00
148	G15	74	7.835493e+00
149	B09	85	7.227834e+00
150	G37	63	7.228036e+00
151	B41	69	6.318950e+00
152	G09	85	6.740768e+00
153	G36	52	9.845343e+00
154	G01	60	7.692641e+00
155	G27	75	2.174271e+01
156	B37	49	8.929912e+00
157	G31	58	7.412038e+00
158	B25	78	8.200746e+00
159	B36	63	7.288509e+00
160	B34	83	9.041657e+00
161	G25	72	1.148227e+01
162	G28	54	6.242644e+00
163	G16	90	7.023972e+00
164	B29	66	6.231792e+00
165	G17	46	6.773452e+00
166	G29	57	6.748301e+00
167	G11	61	9.280026e+00
168	B13	63	6.175245e+00
169	B32	66	6.432091e+00
170	G20	75	8.042950e+00
171	G07	68	7.513395e+00
172	G24	59	1.145411e+01
173	G21	56	6.575059e+00
174	G39	71	6.543532e+00
175	B33	60	8.675804e+00
176	B35	70	6.960079e+00
