Trial	Identity	Answer	ReactionTime[s]	
1	B14	60	1.333506e+01
2	G35	55	9.025707e+00
3	G20	46	6.066953e+00
4	B33	29	5.934833e+00
5	G31	40	5.784804e+00
6	B21	59	8.205132e+00
7	B09	47	6.067755e+00
8	G37	25	7.587370e+00
9	G25	49	8.574256e+00
10	B32	62	6.223563e+00
11	B13	50	7.140742e+00
12	B28	40	5.709777e+00
13	G05	48	7.633532e+00
14	G23	21	9.107579e+00
15	G29	53	6.422059e+00
16	B41	67	6.135779e+00
17	B40	62	6.296255e+00
18	G36	22	7.065115e+00
19	B26	55	5.844223e+00
20	G17	39	7.628686e+00
21	G11	37	6.565575e+00
22	B25	37	8.047108e+00
23	G28	35	6.002601e+00
24	G22	35	7.839406e+00
25	G15	58	7.765580e+00
26	B37	38	7.717341e+00
27	G27	28	1.072468e+01
28	B16	54	8.779383e+00
29	B35	58	6.093269e+00
30	B36	48	8.189601e+00
31	G39	41	7.208666e+00
32	B29	56	7.902664e+00
33	B34	45	7.819275e+00
34	G08	41	5.708722e+00
35	B24	38	8.581823e+00
36	G07	39	5.693301e+00
37	G01	58	5.819524e+00
38	G09	71	5.834409e+00
39	G21	55	5.734155e+00
40	B23	62	5.946497e+00
41	B15	37	5.711735e+00
42	B20	55	6.234481e+00
43	G16	33	6.061395e+00
44	G24	29	6.805873e+00
45	B14	42	6.328926e+00
46	B21	52	5.875173e+00
47	G15	50	5.920087e+00
48	G31	43	5.887689e+00
49	G11	25	6.284156e+00
50	G05	47	5.810620e+00
51	G28	18	5.659395e+00
52	B41	57	5.923246e+00
53	B35	62	6.145621e+00
54	G21	37	5.746829e+00
55	G01	41	5.789198e+00
56	G08	27	6.047354e+00
57	G23	43	5.852767e+00
58	B26	35	5.796582e+00
59	B34	43	5.994368e+00
60	B28	55	6.056513e+00
61	G20	41	5.687949e+00
62	G22	40	6.602079e+00
63	B23	30	5.831914e+00
64	G29	40	5.923768e+00
65	G36	59	5.809305e+00
66	B32	59	6.524331e+00
67	G07	32	5.778925e+00
68	G35	58	5.833882e+00
69	G24	23	5.716897e+00
70	G16	61	5.625712e+00
71	B33	27	7.995815e+00
72	G27	33	6.728785e+00
73	B29	60	8.177601e+00
74	B13	68	5.779456e+00
75	B24	39	5.660555e+00
76	B25	30	7.874089e+00
77	B37	38	5.665532e+00
78	B20	42	6.051845e+00
79	G17	52	6.005664e+00
80	B09	47	7.194093e+00
81	G39	55	6.012914e+00
82	B36	33	8.684219e+00
83	B15	28	5.768637e+00
84	G09	41	5.732843e+00
85	G25	37	6.211444e+00
86	B16	58	6.179456e+00
87	B40	56	6.305232e+00
88	G37	32	5.951851e+00
89	G29	58	5.663565e+00
90	B25	41	5.748948e+00
91	B09	38	5.886926e+00
92	B23	50	6.957145e+00
93	B34	49	5.721608e+00
94	G28	67	5.821795e+00
95	G21	35	6.192817e+00
96	B26	47	5.898073e+00
97	G11	37	5.739097e+00
98	B37	34	5.938304e+00
99	G39	36	5.706814e+00
100	G35	49	5.731733e+00
101	B24	51	7.245975e+00
102	G20	38	5.666395e+00
103	B13	43	5.692874e+00
104	G23	25	5.721521e+00
105	G07	48	7.198703e+00
106	G08	36	5.633755e+00
107	G22	66	5.724208e+00
108	G16	43	5.781727e+00
109	B40	60	5.826526e+00
110	B16	46	5.734526e+00
111	G31	46	5.680058e+00
112	G09	51	5.553480e+00
113	B33	32	5.692478e+00
114	G17	34	8.950130e+00
115	G27	16	1.348925e+01
116	B20	42	9.789263e+00
117	G01	47	6.042481e+00
118	B28	46	5.817666e+00
119	B29	60	5.767676e+00
120	B14	43	7.099782e+00
121	G15	42	6.854731e+00
122	G25	45	7.565694e+00
123	G24	23	6.972753e+00
124	B15	48	5.691111e+00
125	B36	26	5.651961e+00
126	G05	38	5.826633e+00
127	B32	31	5.826321e+00
128	B21	45	7.097296e+00
129	B35	41	6.165403e+00
130	G36	47	5.792688e+00
131	G37	43	5.706813e+00
132	B41	53	5.640697e+00
133	B24	36	7.554818e+00
134	B15	59	7.107901e+00
135	G08	40	7.294638e+00
136	G05	40	5.766131e+00
137	B16	80	6.605381e+00
138	B26	75	5.642587e+00
139	B14	56	5.797450e+00
140	B28	45	5.687112e+00
141	B20	49	5.754778e+00
142	G22	31	5.668300e+00
143	G35	41	5.645243e+00
144	G23	30	5.781344e+00
145	B23	38	5.702517e+00
146	B21	38	5.766708e+00
147	B40	55	5.711089e+00
148	G15	57	5.768191e+00
149	B09	36	5.749779e+00
150	G37	25	6.278482e+00
151	B41	29	6.301903e+00
152	G09	40	6.329565e+00
153	G36	16	5.763434e+00
154	G01	41	7.413691e+00
155	G27	39	7.681842e+00
156	B37	28	6.413849e+00
157	G31	32	5.845488e+00
158	B25	23	5.987012e+00
159	B36	30	5.832264e+00
160	B34	26	6.178930e+00
161	G25	32	5.707180e+00
162	G28	39	5.707746e+00
163	G16	36	5.735594e+00
164	B29	43	5.626338e+00
165	G17	29	5.787398e+00
166	G29	46	5.766701e+00
167	G11	30	5.674898e+00
168	B13	43	5.727874e+00
169	B32	44	5.812690e+00
170	G20	40	5.651489e+00
171	G07	33	5.731440e+00
172	G24	37	5.729546e+00
173	G21	28	5.643469e+00
174	G39	30	5.943734e+00
175	B33	25	5.941037e+00
176	B35	53	6.074921e+00
