Trial	Identity	Answer	ReactionTime[s]	
1	B14	51	9.220530e+00
2	G35	56	9.160237e+00
3	G20	44	8.589165e+00
4	B33	41	5.955224e+00
5	G31	31	7.968643e+00
6	B21	48	9.201475e+00
7	B09	40	6.665823e+00
8	G37	46	7.303653e+00
9	G25	36	1.401870e+01
10	B32	61	8.575784e+00
11	B13	37	8.721597e+00
12	B28	35	8.209680e+00
13	G05	41	9.892612e+00
14	G23	11	7.076043e+00
15	G29	69	5.970596e+00
16	B41	14	7.393643e+00
17	B40	59	6.930163e+00
18	G36	40	6.711049e+00
19	B26	49	6.545862e+00
20	G17	46	6.014221e+00
21	G11	47	5.902776e+00
22	B25	36	5.987696e+00
23	G28	20	1.213740e+01
24	G22	41	7.714082e+00
25	G15	51	5.767514e+00
26	B37	28	6.369128e+00
27	G27	37	6.149948e+00
28	B16	37	5.970231e+00
29	B35	60	5.716639e+00
30	B36	23	6.305614e+00
31	G39	37	5.491025e+00
32	B29	37	6.229144e+00
33	B34	59	5.890506e+00
34	G08	30	6.002371e+00
35	B24	37	7.966612e+00
36	G07	57	6.951747e+00
37	G01	50	9.186590e+00
38	G09	46	9.501342e+00
39	G21	50	5.675194e+00
40	B23	48	7.808774e+00
41	B15	58	7.538913e+00
42	B20	48	7.988481e+00
43	G16	45	1.052908e+01
44	G24	41	7.713727e+00
45	B14	64	7.052414e+00
46	B21	48	8.502293e+00
47	G15	50	5.906490e+00
48	G31	32	7.314543e+00
49	G11	38	8.810910e+00
50	G05	55	8.108825e+00
51	G28	50	6.193462e+00
52	B41	37	7.372803e+00
53	B35	46	5.686180e+00
54	G21	42	7.689138e+00
55	G01	51	8.338988e+00
56	G08	37	6.343351e+00
57	G23	23	8.251893e+00
58	B26	42	7.124428e+00
59	B34	39	9.696705e+00
60	B28	39	5.836733e+00
61	G20	51	5.687993e+00
62	G22	46	6.510899e+00
63	B23	33	5.600589e+00
64	G29	66	6.186911e+00
65	G36	48	5.986280e+00
66	B32	45	8.405126e+00
67	G07	55	6.468876e+00
68	G35	50	6.745611e+00
69	G24	29	6.643600e+00
70	G16	47	5.905665e+00
71	B33	34	5.590812e+00
72	G27	24	5.458942e+00
73	B29	46	5.698776e+00
74	B13	41	6.531780e+00
75	B24	36	5.861722e+00
76	B25	39	7.009296e+00
77	B37	37	5.902267e+00
78	B20	43	6.145257e+00
79	G17	53	5.525976e+00
80	B09	44	6.094966e+00
81	G39	33	5.660356e+00
82	B36	33	7.967486e+00
83	B15	65	5.943911e+00
84	G09	58	1.119591e+01
85	G25	67	7.346805e+00
86	B16	44	5.588990e+00
87	B40	56	5.944665e+00
88	G37	32	6.235554e+00
89	G29	66	5.635990e+00
90	B25	43	6.175281e+00
91	B09	44	5.679531e+00
92	B23	53	5.857729e+00
93	B34	47	6.381174e+00
94	G28	37	6.254359e+00
95	G21	37	5.921909e+00
96	B26	51	5.756876e+00
97	G11	36	6.588503e+00
98	B37	46	6.850704e+00
99	G39	21	8.033267e+00
100	G35	46	7.031105e+00
101	B24	55	6.025955e+00
102	G20	57	6.150838e+00
103	B13	44	5.773998e+00
104	G23	24	8.127425e+00
105	G07	42	6.803531e+00
106	G08	57	6.906791e+00
107	G22	42	6.893860e+00
108	G16	51	5.490481e+00
109	B40	50	5.607187e+00
110	B16	65	7.818271e+00
111	G31	24	5.995883e+00
112	G09	50	5.578746e+00
113	B33	25	6.404055e+00
114	G17	50	8.160796e+00
115	G27	48	5.586595e+00
116	B20	47	6.395856e+00
117	G01	35	7.162334e+00
118	B28	36	6.105126e+00
119	B29	44	6.178360e+00
120	B14	61	7.657967e+00
121	G15	44	7.010948e+00
122	G25	57	6.502962e+00
123	G24	44	7.103595e+00
124	B15	63	5.966084e+00
125	B36	34	6.770268e+00
126	G05	28	7.964382e+00
127	B32	63	6.762466e+00
128	B21	48	7.480743e+00
129	B35	40	5.770150e+00
130	G36	41	6.577195e+00
131	G37	38	8.081507e+00
132	B41	47	5.632780e+00
133	B24	46	6.908672e+00
134	B15	63	5.737588e+00
135	G08	35	5.566717e+00
136	G05	37	5.491368e+00
137	B16	24	7.780972e+00
138	B26	56	6.404013e+00
139	B14	60	5.846135e+00
140	B28	38	5.455324e+00
141	B20	56	5.680570e+00
142	G22	41	5.756336e+00
143	G35	37	9.610045e+00
144	G23	39	5.677674e+00
145	B23	42	8.196155e+00
146	B21	39	5.519594e+00
147	B40	65	6.782781e+00
148	G15	41	5.987754e+00
149	B09	43	5.509573e+00
150	G37	28	5.778203e+00
151	B41	16	6.507110e+00
152	G09	48	6.860157e+00
153	G36	45	9.046326e+00
154	G01	49	5.546974e+00
155	G27	40	8.342846e+00
156	B37	51	5.740725e+00
157	G31	33	6.698877e+00
158	B25	51	6.470044e+00
159	B36	17	5.827013e+00
160	B34	49	5.685216e+00
161	G25	52	5.512224e+00
162	G28	38	6.598163e+00
163	G16	43	7.772746e+00
164	B29	69	6.626164e+00
165	G17	41	5.786485e+00
166	G29	52	5.826982e+00
167	G11	51	5.972759e+00
168	B13	40	5.599646e+00
169	B32	77	6.213325e+00
170	G20	51	8.846098e+00
171	G07	51	5.810553e+00
172	G24	32	5.414339e+00
173	G21	28	5.591196e+00
174	G39	36	6.913763e+00
175	B33	50	5.562851e+00
176	B35	43	6.280822e+00
